,ID,X,Y,H,H_err,J,J_err,K,K_err,chi,sharp,ra,dec,rgc
7843,25980,4241.732,3259.165,22.614500000000003,0.0608,22.854999999999997,0.1554,21.951,0.1128,0.5300,0.0680,204.1620014488928,-29.81280376204884,9.15259108530186
7848,5243,4364.148,3259.549,22.3795,0.0475,22.426000000000002,0.1048,21.575,0.0784,0.5177,0.2550,204.1557308565723,-29.8127857161254,9.580338543859341
7853,26006,3145.436,3259.627,21.2605,0.0287,20.985999999999997,0.0591,20.003,0.0270,0.5503,0.0637,204.2181577430413,-29.81277880170356,5.862192920905572
7858,25994,3982.326,3259.803,21.3155,0.0226,21.351,0.0480,20.352,0.0292,0.4523,-0.1303,204.17528917783582,-29.812776503278396,8.27644390015522
7859,25972,3614.772,3259.816,21.3675,0.0238,21.296,0.0549,20.781,0.0434,0.4710,0.1767,204.1941166382092,-29.812775203398854,7.116757074056361
7869,5227,4185.901,3260.144,20.8275,0.0137,20.701,0.0264,19.416,0.0156,0.4513,-0.0053,204.16486132399845,-29.812760599260542,8.962839297536485
7876,25991,3585.841,3260.551,21.7465,0.0292,21.628999999999998,0.0621,20.724,0.0409,0.4493,0.0460,204.195598584553,-29.812742366596435,7.033147180009492
7885,5249,3451.731,3260.890,21.9145,0.0355,21.820999999999998,0.0753,21.256,0.0652,0.4903,-0.0440,204.20246818294248,-29.81272629528543,6.6491632486750145
7886,5267,3419.217,3260.911,22.3105,0.0491,22.061999999999998,0.0819,21.381999999999998,0.0743,0.4430,-0.1540,204.20413366767437,-29.81272506487198,6.559337965837582
7893,25982,4360.276,3261.199,22.7695,0.0635,22.505000000000003,0.1068,21.869,0.0931,0.4780,0.1720,204.15592921192982,-29.812712418307598,9.570647263786327
7894,5266,3390.497,3261.255,22.977500000000003,0.0989,,,22.3,0.1755,0.5305,-4.1590,204.20560480617794,-29.81270949620001,6.482278498574922
7897,5339,4440.281,3261.350,22.2325,0.0445,22.188000000000002,0.1079,21.259,0.0610,0.5637,-0.0343,204.1518310683223,-29.812704913365334,9.85336147219528
7902,26018,4196.245,3261.525,22.488500000000002,0.0501,22.454,0.0934,21.669,0.0770,0.5423,-0.3097,204.16433147596095,-29.812699161599475,9.001764440385386
7915,5273,3601.689,3262.060,21.1585,0.0220,21.036,0.0506,20.323999999999998,0.0355,0.5467,0.0057,204.19478678215694,-29.81267539518069,7.084653354513207
7916,26029,3699.484,3262.091,20.5425,0.0148,20.231,0.0267,19.4,0.0157,0.5013,-0.1983,204.18977736955316,-29.812674495379284,7.379955029638415
7922,5326,3422.307,3262.328,21.7925,0.0318,21.616,0.0574,20.730999999999998,0.0435,0.4667,0.1393,204.2039753713321,-29.81266211623276,6.572417563722948
7927,5351,3956.765,3262.507,22.360500000000002,0.0504,22.238999999999997,0.0944,21.442999999999998,0.0757,0.4677,-0.2883,204.176598509396,-29.812656361630363,8.199543542281623
7928,5291,3549.499,3262.536,21.953500000000002,0.0350,21.875999999999998,0.0682,21.04,0.0493,0.4937,-0.3077,204.19746013824275,-29.812653907229926,6.932816672503269
7932,5264,3344.595,3262.794,20.2645,0.0166,19.699999999999996,0.0268,18.838,0.0137,0.5903,-0.0813,204.2079560531433,-29.81264061520874,6.364938066171336
7935,26070,4333.229,3262.817,22.4765,0.0508,22.186999999999998,0.0849,21.398,0.0723,0.5240,-0.1937,204.15731467318219,-29.812640746972576,9.479696551583581
7941,5289,3464.193,3263.035,20.858500000000003,0.0218,20.646,0.0482,19.843999999999998,0.0247,0.5937,0.0157,204.20182981293064,-29.812631070290635,6.690854166259806
7946,26041,3592.167,3263.109,21.276500000000002,0.0208,21.177,0.0410,20.241,0.0293,0.4333,-0.0410,204.19527452601147,-29.812628716328916,7.059660931346528
7950,26040,3561.384,3263.265,21.0285,0.0175,20.848999999999997,0.0356,20.035,0.0231,0.5247,0.0173,204.19685134026594,-29.81262158765879,6.96970467068326
7953,26068,4265.187,3263.362,22.683500000000002,0.0658,22.304000000000002,0.1113,20.899,0.0437,0.5293,-0.2233,204.1608000328283,-29.812617064029794,9.244071093978896
7959,26067,4253.834,3263.489,21.026500000000002,0.0158,20.859,0.0360,19.75,0.0205,0.5250,0.1137,204.16138157507754,-29.812611500662623,9.205069433481157
7960,5308,3115.906,3263.495,20.608500000000003,0.0264,,,19.811,0.0314,0.7225,-0.6830,204.2196703082422,-29.812606443014857,5.809238333648984
7961,26047,4340.965,3263.607,22.4985,0.0534,22.487000000000002,0.1071,21.788999999999998,0.0809,0.5043,0.3093,204.15691841551285,-29.812605568761928,9.508663384654596
7962,5259,4108.440,3263.640,21.829500000000003,0.0334,21.686999999999998,0.0674,21.15,0.0454,0.5303,0.2447,204.1688291757974,-29.812605602772315,8.708034304493802
7966,26051,3229.189,3263.833,20.8595,0.0194,20.576,0.0405,19.961,0.0246,0.5393,0.1073,204.2138675452952,-29.812593044245023,6.075393933205274
7976,26064,4128.873,3264.221,21.5365,0.0240,21.479999999999997,0.0465,20.897,0.0436,0.4630,0.0263,204.1677825276507,-29.812579691484817,8.778708842224923
7978,26053,3294.042,3264.260,20.616500000000002,0.0163,20.677999999999997,0.0398,19.561,0.0180,0.5240,-0.1317,204.21054553849055,-29.81257488176488,6.238833258776722
7979,5383,4011.084,3264.272,20.977500000000003,0.0167,20.827999999999996,0.0408,19.980999999999998,0.0227,0.4990,0.0127,204.1738160993637,-29.812577824987326,8.383554921209228
7986,5348,3856.014,3264.497,21.843500000000002,0.0312,22.118000000000002,0.0903,21.413999999999998,0.0706,0.4273,-0.1947,204.1817593361616,-29.81256793388555,7.8781420159897575
8001,5354,4193.466,3265.083,22.7985,0.0664,22.472,0.1026,21.820999999999998,0.0872,0.5353,0.0530,204.16447385031896,-29.812541044572082,9.001130085896783
8003,5361,3559.625,3265.147,22.026500000000002,0.0398,22.060000000000002,0.0993,21.614,0.1003,0.4540,-0.3450,204.19694142804033,-29.81253793149278,6.970396236402359
8009,26080,3780.109,3265.265,21.6975,0.0259,21.662,0.0504,21.018,0.0455,0.3917,0.1747,204.18564745780907,-29.812533680688595,7.639494923648503
8013,26083,4069.795,3265.339,20.459500000000002,0.0130,20.287999999999997,0.0300,19.396,0.0165,0.5077,0.0440,204.17080871731164,-29.81253023756503,8.582280276779427
8021,26090,3670.867,3265.715,20.5135,0.0116,20.493000000000002,0.0209,19.613,0.0183,0.4127,-0.0750,204.19124321672479,-29.812513308406825,7.3033459096782
8025,5397,3344.764,3266.082,19.6385,0.0110,19.698,0.0283,18.899,0.0137,0.6077,-0.1787,204.20794735495443,-29.812494483743926,6.376351357252177
8032,26104,3797.486,3266.262,21.456500000000002,0.0234,21.277,0.0516,20.572,0.0354,0.4083,-0.2200,204.18475734417382,-29.812489407064895,7.697032006955677
