,ID,X,Y,H,H_err,J,J_err,K,K_err,chi,sharp,ra,dec,rgc
26,6,3179.633,2970.282,18.6765,0.0093,18.574999999999996,0.0261,17.846,0.0086,0.8770,-0.1223,204.21641077993843,-29.82563907269365,4.9582792384780685
41,77,4312.583,2972.924,21.9235,0.0451,21.778999999999996,0.0826,21.014,0.0640,0.5383,-0.1750,204.15836949933387,-29.825525051754962,8.760791550781997
49,26,3459.418,2973.386,21.2285,0.0257,21.344,0.0634,20.317,0.0315,0.5057,0.0613,204.2020772973967,-29.82550431608314,5.795194931870379
55,19,3379.292,2973.777,20.7815,0.0252,20.759,0.0535,20.148,0.0361,0.6103,-0.1267,204.20618216136313,-29.82548618029328,5.548236502259632
87,95,3938.846,2975.602,21.2455,0.0242,20.054000000000002,0.0327,19.793,0.0215,0.6010,0.2017,204.17751611826262,-29.82540771163822,7.413041729848657
92,21045,4147.513,2975.768,22.3095,0.0937,,,21.993,0.1994,0.7120,-5.4080,204.16682608214398,-29.825399735106807,8.161571001029444
100,21071,4307.022,2976.303,21.2465,0.0258,21.094,0.0453,20.43,0.0366,0.5450,0.1553,204.15865442184668,-29.82537491927059,8.747147576940685
120,99,4082.842,2976.986,22.6295,0.1040,,,22.015,0.1454,0.5830,-4.5700,204.17013919055492,-29.82534587937852,7.930203387617617
143,131,4389.304,2977.966,23.334500000000002,0.1428,,,22.532999999999998,0.2467,0.6760,-3.6705,204.15443912499393,-29.825300276087788,9.055424844154553
147,112,3578.716,2978.082,22.3675,0.1030,,,21.778,0.1383,0.5820,-3.5215,204.19596560605095,-29.825296498495028,6.190893214157402
215,184,3252.915,2980.571,20.9635,0.0237,20.819000000000003,0.0558,20.023,0.0278,0.5640,-0.1747,204.2126563750512,-29.825182771363743,5.196095120223793
222,21152,4242.981,2980.869,20.8125,0.0174,20.61,0.0379,20.003999999999998,0.0237,0.5097,-0.1150,204.1619352849879,-29.825172463164428,8.520940074729465
226,169,3376.745,2980.949,20.116500000000002,0.0132,20.054000000000002,0.0252,19.404999999999998,0.0156,0.4490,-0.0463,204.2063125594643,-29.825167398640794,5.561846419906732
236,132,4414.554,2981.396,21.767500000000002,0.0374,21.539,0.0677,20.762999999999998,0.0476,0.5607,-0.0550,204.15314560620368,-29.825147580191917,9.156199958793946
240,173,3854.758,2981.545,22.087500000000002,0.0686,,,20.971999999999998,0.0564,0.5430,-3.5620,204.18182395147474,-29.825143576350968,7.132430631102249
269,21182,3507.816,2982.883,22.8775,0.1361,,,21.828,0.1285,0.6110,-3.9020,204.19959777515908,-29.825082623667477,5.975402583688071
292,21190,4002.287,2983.712,21.186500000000002,0.0247,21.040999999999997,0.0581,20.309,0.0313,0.5050,-0.0943,204.1742660469359,-29.825047176254984,7.656816638302222
296,21199,3612.409,2983.885,21.5435,0.0305,21.185000000000002,0.0603,20.559,0.0408,0.4980,0.2620,204.1942394736204,-29.825038788829822,6.317026265713585
299,217,3779.814,2984.000,23.3835,0.1207,,,22.076,0.1400,0.6505,-2.9335,204.18566332547502,-29.825034345699525,6.879822463052238
323,21214,3520.782,2985.013,20.6875,0.0167,20.372999999999998,0.0327,19.483999999999998,0.0180,0.5360,-0.1383,204.1989335092446,-29.824988055348495,6.02278153250918
325,236,3766.882,2985.041,22.0045,0.0423,21.746000000000002,0.0840,21.09,0.0598,0.4823,0.0790,204.1863258279114,-29.824988047179296,6.838219078575187
361,21240,3438.151,2986.815,21.4935,0.0316,21.43,0.0704,20.706,0.0432,0.5073,0.1827,204.20316666884662,-29.824907282950015,5.767523371237526
364,21239,3121.916,2987.023,19.704500000000003,0.0131,19.915999999999997,0.0463,19.364,0.0191,0.6823,0.0430,204.21936733914652,-29.82489417612064,4.859434310132915
379,293,4257.431,2987.746,21.8275,0.0396,21.576999999999998,0.0769,20.858999999999998,0.0477,0.5393,-0.1830,204.16119506771,-29.824866718188478,8.58836457752495
407,307,3832.134,2988.609,21.044500000000003,0.0198,20.964999999999996,0.0443,20.38,0.0309,0.4350,-0.1313,204.18298296825023,-29.824829596444758,7.07127185899341
422,266,4176.661,2989.177,20.7985,0.0163,20.656999999999996,0.0337,19.921,0.0224,0.4797,-0.0870,204.16533291161636,-29.824803627510935,8.296492534293908
456,320,3783.477,2990.430,22.2005,0.0490,21.756999999999998,0.0797,21.503,0.0814,0.4570,0.1430,204.1854756534505,-29.82474857638549,6.908498572900212
465,342,3734.070,2990.816,21.390500000000003,0.0271,21.372999999999998,0.0584,20.712,0.0440,0.4810,-0.0720,204.18800676226124,-29.82473128487939,6.7413729685459955
476,21304,3194.575,2991.095,20.1945,0.0128,20.089,0.0426,19.192,0.0137,0.5687,-0.0060,204.21564496453288,-29.824714260729046,5.066873376928712
496,21312,3562.455,2991.702,21.5655,0.0271,21.46,0.0692,20.649,0.0385,0.4660,-0.2320,204.19679855413594,-29.824691060042884,6.175397343224825
498,357,3806.084,2991.734,21.299500000000002,0.0292,21.073999999999998,0.0565,20.496,0.0391,0.5223,-0.1937,204.18431749884323,-29.824690666957142,6.989255954636567
501,21334,3861.108,2991.806,21.0375,0.0203,20.990000000000002,0.0434,20.285,0.0313,0.4630,-0.2193,204.18149863239842,-29.82468753699697,7.179455670498723
505,399,3643.442,2991.974,20.8545,0.0183,20.723999999999997,0.0412,19.612,0.0216,0.5293,-0.1980,204.1926496081002,-29.82467944342609,6.441074516548615
534,21322,4083.144,2992.927,21.3015,0.0275,21.113999999999997,0.0591,20.432,0.0360,0.5203,0.2533,204.1701237862606,-29.82463738949156,7.96682276570225
545,21344,3127.158,2993.295,19.6275,0.0147,19.490000000000002,0.0356,18.586,0.0155,0.8273,0.1820,204.21909868223077,-29.824615500802494,4.894130291086027
553,21301,4118.086,2993.592,21.265500000000003,0.0248,21.002000000000002,0.0505,20.329,0.0300,0.4933,0.0613,204.16833372027594,-29.824607694015306,8.094055066257235
559,21381,4284.638,2993.885,21.5915,0.0283,21.194000000000003,0.0563,20.358,0.0315,0.5393,-0.2633,204.1598013113142,-29.824593673206156,8.701064868065433
560,449,4153.263,2993.904,22.070500000000003,0.0439,21.994,0.0951,21.604,0.0858,0.4980,-0.1793,204.16653161434004,-29.82459366210999,8.221872441199569
562,372,4399.031,2993.955,21.2295,0.0216,20.829,0.0391,20.134,0.0301,0.5843,0.2410,204.1539409925407,-29.8245895586448,9.12357031800055
580,367,4250.283,2994.352,21.2935,0.0227,21.122999999999998,0.0461,20.514,0.0330,0.4683,-0.2367,204.16156131163987,-29.824573168515645,8.576090001827051
582,21376,3989.930,2994.399,20.7845,0.0161,20.610999999999997,0.0316,19.951999999999998,0.0232,0.4503,0.0687,204.17489911771784,-29.824572222503235,7.637604079216599
591,21375,3960.810,2994.687,19.9925,0.0110,20.272999999999996,0.0330,19.573999999999998,0.0189,0.5000,0.0390,204.1763909270092,-29.824559467033556,7.53531813361682
597,354,3542.629,2994.989,20.3215,0.0155,20.168,0.0333,19.454,0.0190,0.6247,-0.1577,204.1978142087098,-29.824544835815132,6.120662574641663
623,21415,4327.405,2995.659,21.4585,0.0249,21.223999999999997,0.0465,20.665,0.0421,0.5373,-0.0010,204.1576103878354,-29.82451448389823,8.8621101257084
625,456,3254.078,2995.719,20.7715,0.0179,20.714999999999996,0.0490,19.831,0.0203,0.5223,0.0897,204.21259657248947,-29.824509541935882,5.247348617559204
638,21427,3742.491,2996.449,21.177500000000002,0.0223,21.156,0.0534,20.389,0.0335,0.4740,0.0927,204.18757533632933,-29.824480955941823,6.784317962787116
654,21429,3893.199,2996.912,20.9085,0.0184,20.942,0.0484,20.262999999999998,0.0325,0.4837,-0.0870,204.17985461761876,-29.824460616915207,7.303482797827154
667,484,3891.956,2997.460,21.698500000000003,0.0316,21.246000000000002,0.0583,20.464,0.0387,0.4557,-0.0227,204.1799182959903,-29.824436261229565,7.300473558827501
688,526,3970.952,2998.246,19.968500000000002,0.0103,19.863,0.0265,19.032,0.0130,0.5340,-0.1283,204.17587136136342,-29.82440127567009,7.579458354188233
691,21442,3612.271,2998.374,20.9385,0.0197,20.930999999999997,0.0348,19.426,0.0180,0.4043,-0.2000,204.1942464490977,-29.8243948326015,6.355710841418821
699,21460,3768.811,2998.531,21.6765,0.0304,21.275,0.0564,19.982,0.0259,0.4323,-0.0233,204.18622696573146,-29.82438849666915,6.878936666207165
701,21469,4210.554,2998.557,21.956500000000002,0.0389,21.723,0.0676,20.861,0.0431,0.4543,0.2913,204.16359664620705,-29.824386540674855,8.440012126356297
705,534,4347.400,2998.725,21.9995,0.0384,21.793,0.0726,21.241,0.0716,0.5067,0.1857,204.1565860820697,-29.82437804361678,8.94216900279987
724,520,3771.255,2999.398,21.0275,0.0168,20.719,0.0344,19.814999999999998,0.0219,0.4263,-0.2080,204.1861017580725,-29.824349969522196,6.889453153101813
730,21470,4255.576,2999.638,21.116500000000002,0.0221,20.978,0.0451,20.204,0.0284,0.5043,0.1787,204.16129019588817,-29.82433819809514,8.60663681845514
731,531,4224.153,2999.666,23.8825,0.2363,,,23.163,0.4373,0.6280,-5.3950,204.16289998308517,-29.824337165962092,8.49194044762281
735,21486,3977.524,2999.809,21.093500000000002,0.0236,20.948999999999998,0.0530,20.567999999999998,0.0384,0.5183,0.1493,204.1755346831769,-29.824331799110073,7.606326313195533
744,21477,3423.075,3000.065,20.866500000000002,0.0186,20.789,0.0474,19.983999999999998,0.0249,0.5470,0.0530,204.20393886701657,-29.82431825492589,5.759830937335138
750,21472,3164.245,3000.225,18.5855,0.0086,18.512,0.0232,17.598,0.0080,0.8840,-0.0880,204.21719861047748,-29.82430805233539,5.01493773799237
754,21515,4397.979,3000.359,21.698500000000003,0.0304,21.534,0.0552,20.743,0.0471,0.5540,0.2477,204.1539949590824,-29.824304946894173,9.132572317286492
759,21484,3853.496,3000.449,20.741500000000002,0.0162,20.606,0.0352,19.774,0.0211,0.4810,-0.0927,204.18188858457233,-29.824303397590977,7.174236083206269
762,21488,4044.221,3000.480,20.8945,0.0178,20.726,0.0375,20.087,0.0246,0.4547,-0.0587,204.17211782630852,-29.824301828104733,7.844613255053708
784,545,3137.065,3001.408,20.378500000000003,0.0175,20.281,0.0442,19.557,0.0186,0.5253,-0.1563,204.21859100902333,-29.82425507311754,4.947164962389496
786,556,3574.743,3001.437,20.9905,0.0210,20.811,0.0434,20.123,0.0300,0.5333,0.0390,204.19616897122737,-29.824258473449124,6.242001675746853
790,21526,3616.015,3001.538,21.3475,0.0221,21.290999999999997,0.0483,20.323999999999998,0.0286,0.4297,-0.2743,204.19405462513654,-29.82425423140597,6.376544691297198
828,580,4039.469,3002.700,21.7315,0.0349,21.360999999999997,0.0612,20.82,0.0410,0.5293,0.0003,204.1723612763349,-29.824203174960925,7.83275554451984
847,571,3426.363,3003.596,21.817500000000003,0.0370,21.634,0.0788,20.866,0.0467,0.5087,-0.1517,204.20377038629994,-29.824161352381775,5.780323872101039
851,21558,4090.160,3003.886,20.0545,0.0120,19.847,0.0292,18.983999999999998,0.0141,0.5950,0.1450,204.16976440639945,-29.824150296735283,8.016607539908216
855,21548,3437.156,3003.980,21.087500000000002,0.0205,20.933,0.0486,20.227999999999998,0.0286,0.5403,-0.2003,204.20321746246654,-29.824144385172247,5.814615096375689
856,21563,4407.475,3004.025,21.849500000000003,0.0327,21.760999999999996,0.0718,21.166,0.0569,0.5233,0.3117,204.1535085257538,-29.824141918872627,9.175171604229018
875,606,3249.588,3004.664,22.4405,0.0933,,,21.531,0.0867,0.5525,-0.8520,204.2128264615854,-29.824111929156803,5.263156722462986
889,604,4288.090,3004.969,22.241500000000002,0.0414,22.266,0.1068,21.871,0.0814,0.5387,0.3010,204.15962456480653,-29.8241010245806,8.736947051082296
890,21572,3837.655,3004.989,21.4925,0.0269,21.353,0.0557,20.663,0.0390,0.4307,-0.1203,204.18270010584132,-29.824101603425976,7.130782305783291
901,609,3372.947,3005.354,22.064500000000002,0.0374,22.201999999999998,0.1095,21.723,0.0850,0.4563,-0.2267,204.20650683925365,-29.824082692965366,5.623685278953943
902,21592,4297.300,3005.425,22.076500000000003,0.0377,21.830999999999996,0.0778,21.33,0.0614,0.4693,-0.2387,204.15915274568286,-29.82408068607411,8.771682185225254
904,21573,3865.799,3005.466,20.3855,0.0141,20.570999999999998,0.0343,19.194,0.0144,0.4513,-0.0710,204.18125830358096,-29.824080429166962,7.2291171689460185
911,21590,4205.009,3005.730,20.079500000000003,0.0112,19.948,0.0233,19.191,0.0141,0.5143,0.0053,204.16388076448774,-29.824067774676326,8.43530479985832
927,651,4233.002,3006.459,22.023500000000002,0.0462,21.64,0.0760,21.112,0.0591,0.5540,0.2460,204.1624467043734,-29.82403519708778,8.538743582047836
931,21610,4316.560,3006.638,21.503500000000003,0.0247,21.490000000000002,0.0573,20.788,0.0426,0.4807,-0.1390,204.15816607817155,-29.824026619315326,8.844940433077294
935,21601,3761.478,3006.829,21.579500000000003,0.0267,21.484,0.0522,20.973,0.0491,0.4247,0.0233,204.18660260664052,-29.82401967746388,6.875202873265427
938,21604,4024.961,3006.964,21.3155,0.0225,21.198999999999998,0.0517,20.616,0.0369,0.4763,-0.0023,204.17310452640635,-29.82401370235847,7.79096848233457
945,21599,3532.854,3007.135,21.0135,0.0188,20.842999999999996,0.0365,19.548,0.0181,0.4557,-0.0253,204.1983148778792,-29.824004944090774,6.1234813735017966
963,21645,4305.178,3007.895,21.701500000000003,0.0307,21.564999999999998,0.0705,20.944,0.0485,0.5927,-0.0903,204.15874918302737,-29.823970845533772,8.805763751908845
968,661,3537.282,3008.018,21.564500000000002,0.0263,21.301000000000002,0.0549,20.644,0.0390,0.4543,-0.1230,204.19808802682044,-29.82396573141452,6.14007457248233
985,21646,4372.837,3008.662,21.817500000000003,0.0363,21.793999999999997,0.0807,21.18,0.0630,0.5877,0.2410,204.1552830623229,-29.823936166945185,9.0564439119252
999,673,4407.909,3009.189,21.884500000000003,0.0333,21.705999999999996,0.0604,20.945999999999998,0.0487,0.5003,0.0880,204.1534863521121,-29.823912403441962,9.187220343727951
1015,21641,3971.054,3009.675,20.709500000000002,0.0147,20.6,0.0342,19.791,0.0205,0.4583,-0.0663,204.17586615495168,-29.823893320032166,7.606708565573555
1041,21673,3604.169,3010.703,21.239500000000003,0.0221,21.656,0.0684,21.169,0.0575,0.4473,-0.2690,204.1946614288964,-29.823846830731817,6.362885624428202
1048,708,4081.278,3011.062,21.204500000000003,0.0240,21.079,0.0515,20.334,0.0330,0.4687,-0.1030,204.1702194566134,-29.823831396397985,8.001020431911757
1054,21697,4316.000,3011.203,21.8015,0.0315,21.842999999999996,0.0717,21.311999999999998,0.0615,0.4707,-0.2563,204.15819481008666,-29.823823735094845,8.852409043432253
1071,21667,3238.247,3012.071,20.654500000000002,0.0171,20.714999999999996,0.0557,20.149,0.0270,0.6393,-0.2103,204.21340734351668,-29.8237825826488,5.25518645515708
1087,21723,3389.290,3012.588,21.7165,0.0311,21.487000000000002,0.0668,20.755,0.0420,0.4640,-0.0343,204.20566951272716,-29.82376134887811,5.694536771952608
1091,720,3472.364,3012.724,21.517500000000002,0.0282,21.381,0.0626,20.622,0.0405,0.5123,-0.0023,204.20141369039257,-29.823756071449896,5.949085046582335
1100,761,4102.789,3013.052,21.555500000000002,0.0309,21.412,0.0669,20.823,0.0457,0.4887,0.1173,204.1691174719917,-29.823742869476053,8.082519681621807
1102,21728,3778.296,3013.163,21.1905,0.0217,21.260999999999996,0.0496,20.779999999999998,0.0468,0.4730,0.0963,204.18574101304168,-29.823738208971445,6.948413645114423
1122,786,3385.277,3013.564,21.523500000000002,0.0282,21.463,0.0676,20.616,0.0382,0.5040,-0.0710,204.2058750844189,-29.823717930604985,5.685425370033924
1134,779,4258.307,3014.111,21.547500000000003,0.0308,21.313000000000002,0.0629,20.641,0.0387,0.5440,-0.2727,204.16115040663772,-29.823694934389845,8.647384208578552
1143,21720,3266.328,3014.334,20.919500000000003,0.0195,20.787999999999997,0.0439,20.163999999999998,0.0268,0.4957,-0.0317,204.21196874152238,-29.823682363253884,5.341118103148533
1147,842,4178.980,3014.505,21.6175,0.0305,21.411,0.0633,20.966,0.0509,0.5347,-0.1323,204.1652142716959,-29.82367792597501,8.360066633573878
1151,21713,3940.562,3014.749,21.4095,0.0248,21.268,0.0561,20.433,0.0325,0.5360,-0.2640,204.17742824529557,-29.823667843785202,7.511782800462208
1162,21765,4444.514,3015.277,21.7865,0.0321,21.534999999999997,0.0664,21.054,0.0535,0.5433,-0.2343,204.1516111774078,-29.823641443598493,9.3352089314928
1163,21748,3946.831,3015.303,21.549500000000002,0.0263,21.435000000000002,0.0603,20.753999999999998,0.0397,0.4423,-0.2767,204.17710708982227,-29.823643215904333,7.535047068035723
1179,21758,3602.761,3015.985,21.599500000000003,0.0273,21.512,0.0615,21.046,0.0496,0.4513,0.1927,204.19473352428406,-29.82361206701669,6.3728056185160815
1180,844,4307.379,3016.005,22.0915,0.0413,21.854999999999997,0.0846,21.29,0.0604,0.4783,0.1553,204.15863650273394,-29.823610383397178,8.830850051218693
1184,21755,3417.481,3016.159,21.273500000000002,0.0217,21.008000000000003,0.0508,20.311999999999998,0.0294,0.5103,-0.2177,204.2042252691231,-29.823602913374717,5.79043754749628
1192,21686,3581.477,3016.408,21.6305,0.0282,21.363999999999997,0.0546,20.845,0.0442,0.4707,0.0140,204.19582388364577,-29.823593138353555,6.305164426309262
1201,856,4034.320,3016.732,21.7755,0.0346,21.676000000000002,0.0744,21.244,0.0659,0.4423,0.1167,204.17262510063614,-29.82357954473175,7.846776676015583
1208,21809,4104.315,3017.062,21.142500000000002,0.0211,20.961,0.0482,20.274,0.0282,0.4747,-0.1890,204.16903931495432,-29.82356464107892,8.09703187109561
1232,793,3886.156,3017.860,20.991500000000002,0.0215,20.766,0.0443,20.006999999999998,0.0255,0.5300,-0.2057,204.18021542234976,-29.82352959364958,7.329977409632743
1233,21785,3427.258,3017.889,20.9465,0.0189,20.720999999999997,0.0389,19.703,0.0185,0.4700,0.0190,204.20372438273202,-29.823526116405557,5.8253361122689205
1237,21784,3374.078,3018.131,21.433500000000002,0.0264,21.259,0.0621,20.631999999999998,0.0392,0.5263,0.1843,204.20644874635357,-29.82351483815349,5.665770449598137
1241,21794,4067.991,3018.375,20.8415,0.0171,20.607,0.0357,19.936999999999998,0.0244,0.5083,-0.2223,204.17090016889225,-29.823506420602037,7.970264374869859
1248,21791,3728.757,3018.701,21.4385,0.0277,21.049999999999997,0.0454,20.11,0.0282,0.4743,-0.0953,204.18827883864464,-29.823491934222435,6.795664372168658
1249,21786,3437.560,3018.711,21.4215,0.0255,21.314999999999998,0.0570,20.756,0.0386,0.4720,0.1260,204.20319661133877,-29.823489677874097,5.859237261760078
1251,865,3599.088,3018.772,21.8825,0.0371,21.625,0.0676,21.131,0.0550,0.4647,0.2467,204.19492167019058,-29.823488178804226,6.368575764946579
1261,895,3998.232,3019.158,20.605500000000003,0.0155,20.348,0.0342,19.692999999999998,0.0197,0.5413,-0.2290,204.17447386524407,-29.823471806878942,7.724798537978334
1263,21812,4303.209,3019.209,21.747500000000002,0.0306,21.542,0.0637,20.823999999999998,0.0438,0.4837,0.1967,204.15885015806415,-29.82346801698956,8.822322703316466
1276,929,3594.111,3019.756,21.6475,0.0278,21.409,0.0469,20.951999999999998,0.0444,0.4187,-0.1530,204.19517663082337,-29.82344441583151,6.355197657755108
1293,21842,3828.955,3020.264,21.180500000000002,0.0206,20.973,0.0429,20.395,0.0306,0.4420,-0.2197,204.18314577812794,-29.823422703496426,7.139032569761248
1306,912,3941.333,3020.695,22.0715,0.0395,22.055999999999997,0.0971,21.500999999999998,0.0754,0.4290,0.1433,204.1773887534195,-29.8234035764955,7.528748315659214
1323,21831,3177.489,3021.247,20.736500000000003,0.0207,20.461,0.0465,19.689,0.0207,0.5730,-0.0957,204.21651978152684,-29.823373931860246,5.119815385136167
1337,21856,3425.314,3021.662,21.1855,0.0209,20.981,0.0450,20.276,0.0270,0.4383,-0.1417,204.20382393161026,-29.823358409428153,5.8306249890192525
1343,21865,3702.260,3022.053,20.9185,0.0212,20.884999999999998,0.0534,19.951999999999998,0.0266,0.5530,0.1037,204.18963624239228,-29.823342860900002,6.71603936000738
1354,21860,3554.578,3022.293,20.3275,0.0149,20.217,0.0283,19.32,0.0183,0.5210,0.0200,204.19720185175672,-29.82333140742382,6.23538658683158
1364,909,3637.424,3022.553,21.195500000000003,0.0210,21.086999999999996,0.0384,20.521,0.0331,0.4107,-0.1763,204.1929577273466,-29.823320346329254,6.503614596050407
1384,949,3631.352,3023.357,21.0335,0.0183,21.072000000000003,0.0446,20.055,0.0236,0.4340,0.1083,204.19326878529967,-29.823284581367314,6.485978153516596
1395,948,3624.327,3023.788,21.3825,0.0250,21.086999999999996,0.0508,20.358,0.0303,0.4480,0.0147,204.19362866660984,-29.823265388306805,6.464265865438756
1406,970,4027.595,3024.047,21.480500000000003,0.0238,21.452999999999996,0.0584,20.869,0.0473,0.4473,-0.2787,204.172969638532,-29.82325445133181,7.839953657350992
1408,21903,3756.113,3024.085,20.6965,0.0172,20.606,0.0398,19.899,0.0244,0.5153,-0.2067,204.186877396721,-29.823252729468045,6.901524571858318
1416,21925,4279.733,3024.276,21.715500000000002,0.0339,21.586,0.0737,20.913,0.0480,0.5337,0.2040,204.16005285714633,-29.823242999583325,8.747260897286129
1419,21873,4284.714,3024.340,21.834500000000002,0.0389,21.984,0.0944,21.018,0.0576,0.4817,0.3133,204.1597976859884,-29.823240117316683,8.765578546439476
1443,5000028,3442.803,3025.335,23.2525,0.1540,,,22.595,0.2105,0.5140,-3.3485,204.2029279483187,-29.823195325370865,5.89485606586477
1444,21934,3980.469,3025.365,21.951500000000003,0.0399,21.832,0.0836,20.958,0.0521,0.4833,-0.1923,204.17538386005407,-29.82319597231375,7.676963393427227
1453,21935,4150.242,3025.646,20.1295,0.0115,19.982,0.0256,19.153,0.0137,0.5090,0.0610,204.16668656157736,-29.82318292191367,8.28110818990357
1466,5000029,4389.645,3026.385,23.730500000000003,0.1667,,,22.726,0.1521,0.6890,-2.6260,204.15442219750526,-29.82314831769993,9.154863248865277
1467,21929,3512.132,3026.377,20.6855,0.0152,20.326,0.0370,19.317999999999998,0.0147,0.5247,-0.1963,204.1993762845719,-29.82314959045762,6.112728033447884
1474,1022,4203.089,3026.732,22.576500000000003,0.0905,,,22.022,0.1547,0.6460,-4.3905,204.16397927088676,-29.82313436421307,8.474094829015465
1476,980,3174.530,3026.777,19.4555,0.0117,19.493000000000002,0.0346,18.779,0.0144,0.7700,0.1343,204.2166712772561,-29.823128111940836,5.130317227404887
1477,1008,3400.412,3026.783,21.166500000000003,0.0194,21.028999999999996,0.0453,20.247,0.0269,0.4747,-0.0007,204.20509957991047,-29.82313057072169,5.770702730701992
1483,5000030,4094.914,3027.044,22.8425,0.1344,,,22.357,0.2058,0.5720,-4.8815,204.16952096525472,-29.823121034151438,8.086070920477342
1484,1020,4154.661,3027.130,20.9475,0.0213,20.927,0.0511,20.169,0.0279,0.5790,-0.1397,204.16646018935634,-29.823116944145482,8.300310480730088
1486,21948,3801.773,3027.277,21.0775,0.0184,21.012999999999998,0.0443,20.239,0.0251,0.4357,-0.1117,204.18453827247677,-29.82311097025235,7.064101103926363
1487,1014,3817.086,3027.285,21.259500000000003,0.0249,21.092,0.0558,20.281,0.0301,0.4887,-0.1000,204.18375380352103,-29.823110641500783,7.116209057798411
1488,1001,3821.116,3027.293,20.9215,0.0192,20.863,0.0490,19.954,0.0241,0.5063,0.0893,204.1835473508312,-29.823110292229153,7.129964935502843
1489,21956,4300.521,3027.331,21.0455,0.0202,20.911,0.0415,20.128,0.0286,0.5713,0.1297,204.15898793639326,-29.823107060731324,8.829680620415743
1490,21944,3390.725,3027.345,21.2145,0.0198,21.116,0.0502,20.073999999999998,0.0248,0.5047,0.0507,204.20559582828938,-29.823105496762363,5.743380049549394
1499,21966,3637.287,3027.739,21.707500000000003,0.0334,21.878999999999998,0.0853,20.829,0.0438,0.4510,-0.1490,204.19296471494593,-29.823089856767186,6.5172806746687675
1511,21900,3671.242,3028.108,21.3255,0.0244,20.241,0.0479,19.901,0.0289,0.7080,-0.0880,204.19122523440697,-29.82307362032739,6.629557079929597
1512,21964,3428.663,3028.115,20.953500000000002,0.0169,20.924,0.0471,20.152,0.0229,0.4813,-0.2490,204.2036522965005,-29.82307164066073,5.860010838850753
1520,1034,3885.206,3028.426,22.8995,0.1528,,,21.855999999999998,0.1529,0.6415,-5.1650,204.1802640869805,-29.8230599934724,7.352680781675784
1521,21967,3699.131,3028.436,19.128500000000003,0.0082,18.988999999999997,0.0205,18.133,0.0091,0.6633,0.1460,204.18979650925186,-29.823059159846924,6.7225731435744684
1541,21993,4315.060,3029.062,20.9325,0.0214,20.9,0.0504,20.078,0.0287,0.6107,0.1717,204.15824313520997,-29.82303000966601,8.886514889111229
1548,21981,3558.720,3029.436,21.0895,0.0210,20.799,0.0423,19.791999999999998,0.0219,0.5023,0.0863,204.19698960581252,-29.82301396875032,6.268701341082386
1549,21977,3284.524,3029.453,20.8565,0.0157,20.778999999999996,0.0499,20.000999999999998,0.0217,0.4930,-0.2177,204.2110363632723,-29.823010631762962,5.440594770824681
1561,5000031,3449.328,3029.900,23.5315,0.1811,,,22.756,0.2175,0.4715,-3.6250,204.2025936325416,-29.822992494799504,5.92831121016492
1569,1082,4256.033,3030.269,23.2345,0.1197,,,22.306,0.1416,0.5175,-3.8650,204.16126703365074,-29.822976817318082,8.673796799237339
1571,22006,4097.691,3030.377,21.1855,0.0230,21.042,0.0561,20.213,0.0281,0.5333,0.0830,204.16937871759663,-29.822972889953963,8.103581441668577
1580,21997,3378.844,3030.570,20.6675,0.0146,20.644,0.0422,19.983,0.0237,0.5160,-0.2213,204.20620444120752,-29.82296204295632,5.717782146885434
1593,1111,3915.227,3031.041,21.253500000000003,0.0279,20.994999999999997,0.0577,20.125999999999998,0.0290,0.5277,0.1563,204.17872614441572,-29.822943769948125,7.46296201213372
1609,1131,3625.259,3032.017,20.9065,0.0179,20.921999999999997,0.0557,20.342,0.0314,0.4837,0.0453,204.19358087005878,-29.822899660057743,6.489839748564809
1612,22034,3918.708,3032.071,20.9085,0.0202,20.877000000000002,0.0471,19.875999999999998,0.0216,0.4727,-0.1920,204.17854781721684,-29.822897990870565,7.477550416458966
1617,22035,4009.054,3032.180,20.779500000000002,0.0189,20.695,0.0445,19.925,0.0249,0.5730,-0.1587,204.1739194964508,-29.82289302879751,7.793598841064319
1632,22057,4383.751,3032.728,20.9875,0.0179,20.869,0.0424,20.063,0.0258,0.5450,0.0853,204.15472421115751,-29.822866463571632,9.14626354822474
1655,1138,3150.111,3033.620,22.9935,0.1510,,,22.752,0.2841,0.5410,-2.4820,204.2179221202647,-29.822823623678307,5.089265761925194
1680,22076,3407.359,3034.586,20.916500000000003,0.0204,20.762,0.0516,20.015,0.0261,0.5683,-0.0503,204.20474360521052,-29.8227838386319,5.815076775607463
1683,1132,3832.790,3034.667,21.0045,0.0184,20.884999999999998,0.0396,20.124,0.0247,0.4443,-0.2170,204.18294929310184,-29.82278257532411,7.188416262466093
1686,1151,3953.763,3034.752,20.986500000000003,0.0235,20.705,0.0438,19.910999999999998,0.0263,0.5090,-0.1250,204.1767519935272,-29.822778808839413,7.60598432067819
1689,1172,4043.614,3034.762,20.596500000000002,0.0153,20.383000000000003,0.0327,19.558,0.0173,0.4850,-0.1987,204.17214903630145,-29.822778185603614,7.9216109289267544
1691,22074,3264.977,3035.004,20.890500000000003,0.0183,20.752000000000002,0.0498,20.011,0.0243,0.5420,0.1520,204.21203765432426,-29.82276367995551,5.403324266245988
1692,22091,4342.076,3035.014,21.5975,0.0284,21.573,0.0719,20.835,0.0453,0.5707,-0.1667,204.15685919531316,-29.822765246497582,8.997994003000155
