,ID,X,Y,H,H_err,J,J_err,K,K_err,chi,sharp,ra,dec
11430,154637,2650.535,860.559,22.006,0.0872,22.641000000000002,0.0586,22.2635,0.2828,0.5533,-1.0037,152.7282008995991,-4.704782297629711
11431,154626,1989.978,860.750,22.241999999999997,0.0981,23.002,0.0826,21.6485,0.1784,0.5613,-0.2407,152.7576582246622,-4.704773876703586
11434,47810,2450.871,861.308,22.256999999999998,0.1157,22.966,0.0797,,,0.5740,-1.5285,152.7371048510881,-4.704749159871654
11439,154649,2119.085,861.765,22.189999999999998,0.1023,22.808,0.0663,,,0.5470,0.0095,152.75190073951808,-4.7047288497064805
11440,154646,1234.641,861.817,21.171999999999997,0.0534,21.991,0.0351,20.9225,0.0759,0.6410,0.0310,152.7913422202921,-4.70472501504374
11441,154648,2057.629,862.034,19.798,0.0202,20.485,0.0128,19.5625,0.0267,0.5740,-0.2380,152.7546413495295,-4.704716860052076
11445,154665,2445.954,862.448,21.747999999999998,0.0844,22.489,0.0544,21.8815,0.2674,0.6660,-0.0553,152.7373241236183,-4.704698495561671
11454,154670,3227.397,863.235,22.477999999999998,0.1346,22.863,0.0801,21.5365,0.1828,0.7347,-0.3727,152.70247593938424,-4.704662292470203
11455,154659,1670.203,863.247,21.035,0.0439,21.593,0.0287,20.7445,0.0602,0.6010,-0.1337,152.77191848109217,-4.704662487244273
11456,154667,2753.318,863.257,22.465,0.1226,23.142,0.0955,,,0.5480,-1.0520,152.7236173289817,-4.704662264796058
11457,154661,1787.459,863.282,21.186,0.0484,21.406,0.0205,21.1015,0.0790,0.5803,-0.6397,152.7666894894909,-4.704661116385866
11459,154666,2591.705,863.434,18.326999999999998,0.0100,19.155,0.0073,18.0565,0.0110,0.6000,-0.6460,152.730824406736,-4.70465457628501
11461,5007940,2080.218,863.532,22.246,0.1200,23.049,0.0859,22.043499999999998,0.2666,0.5630,-0.9207,152.75363399964078,-4.704650296141721
11463,154660,1777.332,863.757,22.244999999999997,0.1010,22.667,0.0597,,,0.5355,-0.5645,152.76714109896022,-4.704639990889971
11465,154680,3001.336,864.055,21.769,0.0652,22.676000000000002,0.0603,21.6575,0.1394,0.5783,-0.1073,152.7125570523223,-4.704626380663295
11467,154689,1849.994,864.425,21.965999999999998,0.0867,22.536,0.0503,21.7845,0.1449,0.5983,-0.5237,152.76390076083135,-4.704610399003131
11468,154687,1564.909,864.545,22.026999999999997,0.0890,22.03,0.0396,21.764499999999998,0.1542,0.5913,-0.4253,152.77661402830418,-4.704604599339526
11469,47840,2139.402,864.622,19.307,0.0213,20.191,0.0139,18.8265,0.0192,0.6007,-0.5690,152.75099470839223,-4.704601881006933
11470,154696,2812.581,864.776,21.153,0.0490,21.708000000000002,0.0294,20.6515,0.0567,0.6017,-1.1303,152.7209745177562,-4.704594669878933
11471,5007941,2286.170,864.788,22.360999999999997,0.1319,22.777,0.0735,,,0.5110,-0.0325,152.74444963857724,-4.704594532892443
11474,154694,2327.896,864.859,19.645,0.0276,20.228,0.0128,19.4195,0.0360,0.8107,-0.3040,152.74258888160003,-4.704591374614023
11475,5007942,2169.321,864.906,22.351,0.1361,22.421,0.0509,,,0.5235,-0.2160,152.74966048052198,-4.704589269804798
11476,154698,3436.701,864.928,21.163999999999998,0.0447,21.844,0.0331,20.9595,0.0800,0.6200,-0.7917,152.6931421084458,-4.704586425770998
11477,154697,2902.450,864.959,22.4,0.1123,22.697,0.0594,22.0965,0.2791,0.6333,-1.1623,152.71696684093328,-4.704586390324016
11479,5007943,2831.114,865.354,22.605999999999998,0.1509,23.519000000000002,0.1188,,,0.4435,0.0455,152.72014804586433,-4.704568952743005
11481,154690,2100.159,865.567,22.133999999999997,0.1093,22.777,0.0694,21.7675,0.2279,0.6263,-0.8263,152.7527447363277,-4.704559862774779
11483,154703,1612.398,865.725,20.709,0.0393,21.388,0.0230,20.2625,0.0409,0.6037,-0.4683,152.7744962706263,-4.704552248654733
11486,154702,1240.912,866.264,21.886,0.0757,22.107,0.0373,21.9985,0.1658,0.5810,-2.4303,152.7910625542546,-4.704527389522718
11489,154724,2802.586,866.434,20.854,0.0426,21.578,0.0243,20.8235,0.0659,0.5977,-0.3920,152.72142024377268,-4.704520995934206
11490,154705,2105.792,866.460,20.953,0.0481,21.122,0.0195,20.790499999999998,0.0742,0.6817,-0.6303,152.75249353415083,-4.704520176828104
11493,154715,1680.055,866.849,21.944,0.0884,22.271,0.0428,,,0.5630,-0.0955,152.77147912840036,-4.704502415589319
11494,154718,2034.674,867.151,20.026999999999997,0.0239,20.558,0.0123,19.8655,0.0344,0.5690,-0.0997,152.75566501662124,-4.704489422622976
11496,47873,2141.772,867.322,18.799999999999997,0.0142,19.574,0.0089,18.5065,0.0151,0.5877,-0.2773,152.7508890179582,-4.704481882119357
11497,154719,2062.943,867.420,20.916999999999998,0.0362,21.335,0.0211,20.9115,0.0731,0.5720,-0.7787,152.7544043701027,-4.704477485945272
11499,47858,1553.559,867.526,21.843999999999998,0.0878,22.545,0.0546,21.668499999999998,0.1297,0.5863,-0.9303,152.77712017148207,-4.704472087295656
11500,154731,1586.065,867.549,18.544999999999998,0.0097,19.333000000000002,0.0071,18.1815,0.0131,0.5683,-0.2237,152.7756705779584,-4.704471130939656
11502,154716,1707.763,867.598,20.529,0.0321,20.801000000000002,0.0158,20.2535,0.0440,0.5920,-0.1910,152.77024349863487,-4.704469173132456
11506,154737,3056.483,867.779,21.086,0.0431,21.679000000000002,0.0288,20.9745,0.0772,0.5907,-0.0657,152.71009779913084,-4.704460753234045
11507,154717,2003.170,867.787,22.381,0.1159,23.097,0.0893,,,0.5615,-0.6525,152.757069926173,-4.704461132298698
11511,154750,3011.062,868.186,18.561999999999998,0.0114,19.060000000000002,0.0087,17.7075,0.0114,0.6430,-0.6377,152.7121233331638,-4.704442760989189
11513,154748,2345.893,868.248,21.157,0.0629,21.937,0.0353,21.0455,0.1154,0.7630,-0.8527,152.74178631201028,-4.704440749875933
11516,154749,2912.612,868.740,21.516,0.0587,22.038,0.0375,21.0715,0.0863,0.6130,-0.4787,152.7165136767354,-4.704418328128439
11517,154744,1870.574,868.741,19.209999999999997,0.0160,19.811,0.0092,18.9775,0.0181,0.5967,-0.0713,152.76298299769584,-4.704418601766796
11519,47865,2752.518,868.933,21.337,0.0542,21.889,0.0351,21.1915,0.0962,0.6437,-0.2187,152.72365301218076,-4.704409999520209
