,ID,X,Y,J,J_err,H,H_err,K,K_err,chi,sharp,ra,dec,rgc
68022,39929,3765.085,4048.558,23.016,0.0547,22.021,0.0982,21.8695,0.0931,0.6880,-0.2583,11.760638977662833,-20.770330791701003,9.044383344422021
68027,146315,3262.856,4048.832,19.560000000000002,0.0069,18.763,0.0134,18.3155,0.0098,0.5593,-0.0890,11.78451177130311,-20.77031889282641,1.406254415110737
68038,146319,3800.952,4049.139,22.947000000000003,0.0554,22.074,0.1102,22.1195,0.1218,0.7700,0.2157,11.758934089791342,-20.770304823383935,9.59625992208792
68046,146307,2657.998,4049.384,19.384999999999998,0.0059,18.617,0.0133,18.3405,0.0101,0.7420,0.0020,11.813262886255984,-20.770290317475173,8.098350379166098
68049,146329,2869.972,4049.462,20.662999999999997,0.0101,19.798000000000002,0.0224,19.4095,0.0156,0.6390,-0.0487,11.803186986314314,-20.770288811821,4.840150833018108
68069,146347,3704.692,4050.008,21.387,0.0189,20.432000000000002,0.0363,19.5685,0.0197,0.7830,0.0500,11.763509684056617,-20.770266555253084,8.111862257379553
68074,146352,3996.622,4050.100,21.516,0.0177,20.810000000000002,0.0459,20.6795,0.0427,0.8087,-0.0197,11.74963318358333,-20.770261019062357,12.612148153642162
68083,146350,3769.062,4050.304,22.293,0.0323,21.330000000000002,0.0577,20.9555,0.0474,0.6847,-0.4103,11.760449943472205,-20.770253176337125,9.103066831351262
68092,146326,2519.814,4050.490,21.252000000000002,0.0166,20.405,0.0373,19.9425,0.0268,0.9100,-0.3600,11.819831261075228,-20.770239567231627,10.229007072611253
68104,146370,4004.506,4050.785,19.935000000000002,0.0072,19.109,0.0191,18.9635,0.0130,0.7640,-0.2297,11.749258433359879,-20.770230520082357,12.732783145837391
68115,146371,4063.323,4051.208,20.610999999999997,0.0126,19.612000000000002,0.0260,19.0115,0.0143,0.9513,0.1120,11.746462650579414,-20.770211287551856,13.639582671286336
68119,146358,2995.376,4051.391,21.671,0.0220,20.979000000000003,0.0510,20.5595,0.0341,0.5967,-0.1487,11.797226062092674,-20.77020396203013,2.9302838163565057
68122,146366,3816.778,4051.480,21.909,0.0256,21.098000000000003,0.0565,20.9415,0.0489,0.8067,0.3417,11.7581818331852,-20.770200709136667,9.836743483934416
68133,146375,2662.834,4051.954,20.377000000000002,0.0099,19.472,0.0188,19.1835,0.0176,0.6953,-0.3123,11.81303298447197,-20.77017614657244,8.026702129218794
68134,146376,2675.176,4051.961,19.847,0.0072,19.233,0.0174,18.828500000000002,0.0131,0.7137,-0.1647,11.812446324506231,-20.770175964966608,7.836644903251127
68140,146385,3643.521,4052.052,20.896,0.0130,20.124000000000002,0.0319,19.517500000000002,0.0182,0.7310,-0.1010,11.766417370660605,-20.770175872868602,7.167002033340604
68142,39963,3089.590,4052.079,20.863,0.0145,20.0,0.0254,19.6945,0.0176,0.5567,0.0410,11.792747724172303,-20.770173912761596,1.5360187417915678
68149,146383,3411.744,4052.287,18.694000000000003,0.0051,17.69,0.0104,17.5665,0.0064,0.7357,0.1280,11.777434573872187,-20.77016559854032,3.6121691376668323
68157,146393,2439.814,4052.602,21.226,0.0175,20.41,0.0459,19.9495,0.0280,1.0650,-0.3450,11.823633920644326,-20.770144663255387,11.465085282599992
68206,146422,3909.842,4054.203,21.500999999999998,0.0180,20.541,0.0401,20.2195,0.0318,0.8370,-0.3127,11.753758179326223,-20.770079210149586,11.26770287984244
68214,146412,2984.141,4054.423,20.061999999999998,0.0088,19.266000000000002,0.0173,18.8235,0.0111,0.6397,-0.2027,11.797760081855586,-20.77006913572288,3.102596401624281
68216,146449,3673.411,4054.476,20.058999999999997,0.0090,19.201,0.0196,18.9395,0.0130,0.7803,0.3743,11.764996597166133,-20.770068066470824,7.623413164710918
68220,146452,4033.542,4054.547,21.241999999999997,0.0156,19.762,0.0280,19.6675,0.0217,0.8960,-0.2383,11.747878276037177,-20.77006311223499,13.175333473988657
68249,40065,2956.524,4055.381,21.377000000000002,0.0185,20.46,0.0383,20.1395,0.0255,0.6693,-0.3980,11.799072810233692,-20.770026376977086,3.5229471629663607
68250,40058,3999.281,4055.425,22.569000000000003,0.0425,21.756,0.0877,21.6345,0.0855,0.7907,-0.1233,11.749506830876259,-20.770024334126955,12.645512514480316
68278,146533,2885.372,4056.218,21.692999999999998,0.0228,20.754,0.0392,20.2805,0.0279,0.6217,0.0720,11.802454912602714,-20.769988664781184,4.610681646092879
68286,146468,4242.728,4056.430,22.137,0.0302,21.619,0.0831,21.1025,0.0575,0.9023,-0.3300,11.737934935590818,-20.769977599986223,16.40066671120541
68297,146473,2207.114,4056.869,22.703000000000003,0.0471,21.751,0.0834,21.4695,0.0697,0.8863,-0.0977,11.834694910396825,-20.769951525831004,15.060388062790189
68305,40095,3793.753,4056.949,22.734,0.0478,22.059,0.1072,21.4915,0.0732,0.7337,-0.2840,11.759276319876964,-20.769957742976104,9.473760448740574
68319,146505,3861.879,4057.561,20.061,0.0075,19.207,0.0194,18.8715,0.0123,0.7877,-0.2237,11.756038051701362,-20.769930225582,10.523172545557273
68327,146504,3801.562,4057.851,21.987000000000002,0.0261,21.299,0.0564,21.2225,0.0534,0.6957,-0.3403,11.758905134438796,-20.769917620788195,9.59280354638257
68342,146525,3774.127,4058.397,21.487000000000002,0.0170,21.406000000000002,0.0723,21.0465,0.0502,0.7000,0.3540,11.760209219728253,-20.769893467603364,9.169118530091911
68363,40119,1921.268,4059.104,23.171999999999997,0.0630,22.316000000000003,0.1381,21.9545,0.0998,0.8987,0.0007,11.848282123755672,-20.76984693271066,19.47529199032606
68367,146506,1632.737,4059.186,22.869999999999997,0.0538,22.076,0.1210,21.7075,0.0813,0.9483,0.0600,11.86199699346438,-20.769836895567433,23.930043887360956
68370,5001269,3438.148,4059.292,,,23.174,0.4440,22.0235,0.0698,0.7435,-4.4270,11.776179492580418,-20.76985428129548,4.00297954941375
68374,146512,2767.896,4059.312,21.256,0.0168,20.258000000000003,0.0288,19.9785,0.0235,0.7003,-0.2897,11.808038935114675,-20.76985016315652,6.417557394027488
68393,146532,2841.206,4060.092,21.618000000000002,0.0202,20.828,0.0443,20.5595,0.0334,0.6750,-0.2237,11.804554245921933,-20.769816135800806,5.29177969595167
68396,40122,2538.283,4060.122,22.740000000000002,0.0487,21.988,0.1062,21.8475,0.1084,0.9167,0.3760,11.81895323686617,-20.76981170608798,9.955299184814004
68400,146546,3807.754,4060.341,19.936999999999998,0.0071,19.217000000000002,0.0156,18.9585,0.0119,0.6397,0.0293,11.758610818392944,-20.769806927157976,9.684594404476071
68404,146560,3551.266,4060.416,21.249000000000002,0.0165,20.384,0.0356,20.1015,0.0256,0.6477,0.0040,11.770802595490002,-20.76980429141812,5.735266833323866
68413,146523,3605.784,4060.591,22.914,0.0490,21.761000000000003,0.1112,20.9345,0.0525,0.6000,0.3917,11.768211163464823,-20.76979643734928,6.573221507768856
68420,40179,3565.056,4060.927,21.683,0.0206,21.073,0.0513,20.5705,0.0306,0.6060,0.1537,11.770147108938172,-20.769781564682496,5.946390290464842
68429,40182,3810.822,4061.137,20.948999999999998,0.0152,19.848000000000003,0.0258,19.6245,0.0193,0.6600,0.2063,11.758464989340588,-20.769771535832973,9.730723096146003
68432,40148,2792.255,4061.211,22.247999999999998,0.0308,21.569000000000003,0.0755,20.9835,0.0509,0.7163,0.3850,11.806881048109641,-20.76976598339375,6.044976288888016
68435,146569,3970.249,4061.295,21.903,0.0244,21.248,0.0666,21.0165,0.0553,0.8290,0.3717,11.750886866683693,-20.769763640111783,12.189211742659907
68436,146565,3794.491,4061.434,21.409,0.0151,21.244,0.0535,21.2175,0.0608,0.6780,-0.0953,11.75924126035259,-20.76975840654661,9.478526696865204
68449,40187,2503.610,4061.882,22.987000000000002,0.0598,22.246000000000002,0.1490,21.7055,0.1085,0.9873,0.1070,11.82060134187101,-20.769733052952724,10.491976738407468
68467,146595,4031.694,4062.389,21.695,0.0224,20.787000000000003,0.0491,20.4705,0.0368,0.9033,-0.3903,11.74796617950911,-20.769714592515168,13.135611755338987
