,ID,X,Y,J,J_err,K,K_err,chi,sharp,ra,dec
25927,133971,2560.803,2755.683,22.938,0.0776,22.192,0.1064,0.4080,-0.5640,205.0178659939359,-31.66995984324672
25928,27269,3373.501,2755.691,23.444,0.1108,22.236,0.1315,0.4010,-0.2030,204.9754262492039,-31.669949045441257
25930,133978,3852.589,2755.718,22.989,0.0741,21.818,0.0793,0.4060,-0.3975,204.95040791274204,-31.669935108677645
25931,133979,4063.209,2755.758,23.578,0.1244,23.08,0.2345,0.4125,-1.6695,204.9394091878133,-31.669926186752566
25933,133977,3759.788,2755.963,21.584,0.0278,20.615,0.0340,0.4355,-1.2940,204.955254057565,-31.669927068152656
25934,133976,3587.444,2756.016,21.331,0.0249,19.819,0.0230,0.4765,-0.0735,204.9642539909215,-31.66992951645076
25939,133974,3307.485,2756.399,22.818,0.0675,21.847,0.0776,0.3895,-0.2365,204.97887367310858,-31.669918951196674
25942,5010318,5523.833,2756.814,19.493,0.0166,18.618,0.0180,0.6100,-1.2715,204.8631346696848,-31.66980375243109
25945,133985,2885.290,2757.009,23.227,0.0889,22.479,0.1290,0.3865,-0.0770,205.0009210344513,-31.669898425231256
25946,27270,3779.401,2757.116,22.3,0.0402,19.59,0.0188,0.4280,-0.5920,204.954229893127,-31.669875237044693
25950,133990,3723.733,2757.310,21.398,0.0236,19.809,0.0211,0.4310,-0.7255,204.9571369219356,-31.66986825878456
25951,133986,3045.979,2757.357,23.245,0.0988,22.341,0.1212,0.4015,-0.7290,204.9925297361617,-31.66988089909018
25954,133984,2509.986,2757.462,23.172,0.0902,22.387,0.1332,0.3785,-0.0275,205.02051970604438,-31.6698809629183
25955,134008,3770.581,2757.552,22.345,0.0410,21.277,0.0578,0.4010,-1.3265,204.95469049504482,-31.66985612414866
25956,134006,3450.245,2757.653,22.729,0.0567,21.965,0.1020,0.4075,-0.0735,204.971418671178,-31.66986013357819
25958,134004,3317.884,2757.869,23.263,0.0890,21.906,0.0884,0.4035,-0.8160,204.97833066439276,-31.669853407871738
25960,134009,3866.340,2757.958,22.844,0.0636,21.864,0.0835,0.4065,-0.2065,204.94968990960885,-31.669835115600353
25961,134003,3217.796,2757.966,22.705,0.0623,22.017,0.0999,0.4300,0.1775,204.98355733533825,-31.669851022827075
25962,5010320,5732.509,2758.080,21.711,0.0436,20.898,0.0559,0.4520,-1.0580,204.8522376458233,-31.669732995263782
25963,133983,2470.276,2758.126,23.624,0.1285,22.885,0.2313,0.4740,-2.5100,205.02259339497738,-31.669851559181694
25965,27276,3528.000,2758.183,23.08,0.0785,22.316,0.1266,0.3380,-0.2670,204.9673582644782,-31.669834715822798
25967,134026,3644.907,2758.464,22.791,0.0617,21.865,0.0796,0.3585,-0.3370,204.96125330842005,-31.66981918504977
25968,27288,3486.912,2758.489,22.784,0.0651,22.194,0.1234,0.3920,-0.8055,204.9695039174084,-31.66982211590388
25972,134021,2947.912,2758.707,23.711,0.1328,22.654,0.1630,0.4095,-0.9455,204.99765088967501,-31.6698222212998
25974,27296,3080.102,2758.987,22.951,0.0714,22.208,0.1216,0.4130,-1.0080,204.9907478362986,-31.66980794665221
25975,134023,3491.504,2758.987,21.568,0.0244,19.783,0.0193,0.4060,-0.4830,204.96926413398774,-31.669799872602283
25978,134007,3621.605,2759.117,23.231,0.0977,22.323,0.1201,0.3860,-0.8655,204.96247017534694,-31.669790792361315
25984,134028,3891.918,2759.391,21.15,0.0206,19.634,0.0193,0.4695,-0.1935,204.9483542640625,-31.669770602046558
25985,134022,3276.987,2759.405,21.954,0.0332,20.942,0.0441,0.4265,-0.3195,204.98046637072838,-31.669785953998094
25987,134027,3844.326,2759.554,22.363,0.0453,21.37,0.0540,0.4005,-0.2495,204.9508395544939,-31.669764881034585
25988,27304,3246.134,2759.582,23.66,0.1281,22.548,0.1437,0.3950,0.2340,204.98207753978588,-31.669778676940123
25991,27306,3655.611,2759.874,23.266,0.0929,22.095,0.0961,0.3510,-1.9705,204.96069438373155,-31.669756225402292
25992,134025,3527.601,2760.169,23.504,0.1075,22.093,0.0927,0.3545,-1.5265,204.96737915828672,-31.669746459113313
25995,134037,4100.839,2760.381,22.669,0.0604,21.651,0.0702,0.4165,-0.5235,204.93744432366813,-31.669719344666337
25996,134046,3353.168,2760.512,22.614,0.0541,21.704,0.0719,0.3835,-0.1510,204.97648817353078,-31.669735211497287
25997,134043,2255.091,2760.548,22.127,0.0439,20.314,0.0350,0.5295,-0.2235,205.03383051344022,-31.669743913317717
26000,134045,3323.200,2760.905,23.92,0.1571,23.201999999999998,0.2626,0.3925,-2.9070,204.97805313177574,-31.66971836636774
26004,27319,3818.923,2761.098,21.996,0.0467,20.919,0.0579,0.4920,-0.1890,204.9521661713962,-31.669697052324835
26005,134047,3536.465,2761.254,21.272,0.0202,20.082,0.0229,0.4025,0.0030,204.96691630620458,-31.669698016551695
26007,134064,4052.900,2761.483,23.347,0.1022,22.194,0.1056,0.4040,-0.3030,204.93994777254508,-31.66967211431309
26008,134063,3945.395,2761.514,22.589,0.0521,21.626,0.0631,0.3785,-1.1115,204.94556174546594,-31.669674477337033
26009,134060,3347.059,2761.552,22.706,0.0570,21.661,0.0663,0.3745,-0.7915,204.97680721510622,-31.669689117554217
26012,27307,3753.285,2761.718,22.699,0.0646,21.757,0.0771,0.4060,-1.0165,204.95559384876358,-31.669671483377996
26013,134058,3263.459,2761.722,22.795,0.0617,21.804,0.0894,0.4325,-0.3490,204.9811728643957,-31.669683237295796
26015,134044,3130.272,2761.840,23.638,0.1263,22.393,0.1300,0.4090,-0.8840,204.9881279775195,-31.669680354810545
26019,27323,2989.322,2762.211,23.253,0.0809,22.277,0.1189,0.3835,0.2155,204.9954884839074,-31.66966595467361
26021,134059,3284.807,2762.390,23.091,0.0775,21.787,0.0768,0.3925,-1.0180,204.98005807359328,-31.669653134756157
26022,27317,3357.940,2762.497,23.428,0.1085,22.346,0.1316,0.4075,-0.3785,204.97623902584502,-31.669646888601992
26025,134082,4039.219,2762.616,23.875,0.1595,22.72,0.1809,0.4360,-1.1390,204.9406622494021,-31.669622248530022
26026,27345,3236.342,2762.681,,0.2875,21.957,0.0843,0.3645,-0.9100,204.98258895239468,-31.66964112658045
26028,134076,3678.599,2762.743,22.539,0.0493,21.583,0.0674,0.3740,-0.8295,204.9594940297556,-31.669628076844944
26030,27318,3727.037,2763.035,21.2,0.0186,20.025,0.0191,0.3520,-0.4245,204.95696457970692,-31.66961371887171
26031,134071,3342.489,2763.066,22.968,0.0733,21.718,0.0801,0.4085,-1.6995,204.97704590043983,-31.66962192413024
26033,134067,1709.480,2763.173,22.993,0.0779,22.341,0.1550,0.4835,-1.3780,205.06232265666807,-31.66962282898732
26034,134083,4231.169,2763.206,21.675,0.0322,20.541,0.0403,0.5205,-0.9030,204.93063854903613,-31.669588791799992
26035,134075,3649.605,2763.213,22.107,0.0364,21.081,0.0428,0.3640,-0.4235,204.9610081282031,-31.66960799026762
26036,134074,3635.096,2763.229,19.898,0.0105,19.113,0.0142,0.4710,-0.1315,204.96176579689802,-31.669607673923
26039,134079,3821.223,2763.410,20.903,0.0192,19.352,0.0174,0.4670,-0.3555,204.95204614819858,-31.669594225614187
26040,134099,3975.450,2763.481,23.461,0.1089,22.516,0.1545,0.4310,-0.4515,204.94399233547367,-31.66958603417516
26041,134070,2926.277,2763.523,22.921,0.0692,21.858999999999998,0.0780,0.3885,-0.8870,204.9987807530042,-31.66960844109348
26045,134080,3837.480,2763.582,23.746,0.1396,22.276,0.1036,0.3760,-2.2140,204.95119720523724,-31.66958607419886
26046,134098,3914.459,2763.700,23.425,0.1056,22.355,0.1308,0.4185,-1.5830,204.94717732577558,-31.669578352827262
26050,134096,3641.944,2763.970,21.749,0.0312,20.551,0.0324,0.3985,-0.8075,204.96140821412618,-31.669574554855743
26051,134097,3658.961,2763.985,23.095,0.0785,22.046,0.0968,0.3675,-1.7360,204.9605195775832,-31.66957342225384
26053,134114,4137.025,2764.063,22.719,0.0625,21.729,0.0771,0.4265,-0.2340,204.93555483308006,-31.6695543491458
26054,134077,3706.355,2764.100,22.975,0.0843,21.742,0.0840,0.4210,-1.7070,204.9580446410821,-31.669566981010032
26056,5010339,5583.276,2764.177,16.221,0.0120,15.64,0.0084,1.5655,-0.9765,204.86003112713678,-31.66947247599644
26057,27344,3233.431,2764.335,23.805,0.1463,21.201,0.0494,0.3945,-0.8650,204.98274100255634,-31.669567669489467
26059,27338,3157.292,2764.349,23.799,0.1471,22.88,0.2024,0.4175,-0.6285,204.98671702546363,-31.669568395085538
26061,134094,3073.920,2764.516,22.533,0.0486,21.594,0.0682,0.4025,-1.0370,204.9910707629298,-31.669562307309832
26064,134111,2985.319,2764.790,22.223,0.0387,20.876,0.0380,0.3970,-0.5110,204.99569756322043,-31.669551385650145
26067,27347,4093.546,2765.098,23.563,0.1203,22.586,0.1482,0.3695,-0.7605,204.93782537214577,-31.669509969515783
26068,134112,3053.783,2765.111,23.373,0.0968,22.326,0.1076,0.3400,-0.6400,204.99212233906752,-31.669536163023654
26069,134113,4007.720,2765.111,,0.2148,22.966,0.2088,0.4025,-4.7820,204.94230724639388,-31.66951247214115
26071,134110,1278.555,2765.123,22.167,0.0398,21.38,0.0691,0.4765,-0.3910,205.08482576773545,-31.669528198488372
26072,134129,3024.284,2765.337,23.931,0.1635,22.564,0.1502,0.3810,-2.5965,204.9936627973761,-31.66952654270205
26073,134128,2669.809,2765.441,23.479,0.1093,22.481,0.1427,0.3780,-0.6205,205.01217368578057,-31.669525569568236
26075,134132,3412.517,2765.747,22.591,0.0510,21.719,0.0740,0.3905,-0.0165,204.9733890668213,-31.669501257752355
26077,134135,3565.019,2765.875,22.529,0.0547,21.526,0.0653,0.3925,-1.4375,204.96542533718062,-31.669491917671806
26079,134138,4073.992,2765.895,22.964,0.0721,21.81,0.0771,0.3975,-1.0540,204.93884652508976,-31.669475262943102
26082,134139,4314.458,2766.084,21.707,0.0346,20.579,0.0440,0.5480,-0.4805,204.92628929782256,-31.669457498015863
26086,134137,3702.933,2766.350,22.148,0.0407,21.178,0.0532,0.4110,-0.8925,204.95822341503123,-31.669467078750788
26087,27354,3223.272,2766.400,,0.2982,22.786,0.4253,0.4940,-4.4205,204.9832715557433,-31.66947607872662
26091,134148,3396.785,2766.615,21.763,0.0266,20.835,0.0366,0.3730,-0.4915,204.97421062254506,-31.669463028513093
26093,27346,3489.082,2766.660,23.018,0.0811,21.898,0.0872,0.3935,-0.9545,204.96939082822303,-31.669458908715267
26094,27355,3684.964,2766.718,23.41,0.1126,22.493,0.1485,0.3790,-1.7245,204.95916177700894,-31.66945123183345
26102,134158,1735.112,2767.235,,0.4363,22.574,0.1971,0.4540,0.2865,205.0609840740614,-31.669442644993683
26107,27365,3769.279,2767.692,,0.2299,23.568,0.3810,0.3870,-6.6735,204.95475884241648,-31.669405496928036
26112,134165,3319.285,2767.935,22.772,0.0663,21.624,0.0706,0.4175,-1.0265,204.97825774348735,-31.669406001908175
26113,5010354,1810.787,2767.986,19.817,0.0312,19.419,0.0761,0.5725,-0.5465,205.05703227577368,-31.669410216852693
26114,134162,3099.332,2768.010,23.971,0.1693,22.956,0.2279,0.3980,-3.8930,204.98974379775098,-31.66940662741652
26115,134169,3816.791,2768.185,21.875,0.0414,20.825,0.0422,0.4825,-0.2845,204.952277762952,-31.669382140871395
26118,134166,3575.080,2768.325,22.776,0.0652,21.945,0.0960,0.4010,-0.4165,204.9649000208036,-31.669382770605683
26119,134159,1812.529,2768.356,17.192,0.0039,16.731,0.0065,0.5830,-0.1770,205.05694130256998,-31.66939379284032
26122,134161,2282.524,2768.539,20.567,0.0160,19.671,0.0208,0.5045,-0.3210,205.0323979268445,-31.66938881281004
26124,134072,3357.475,2768.564,23.704,0.1418,22.87,0.1919,0.4240,-0.1875,204.97626345907096,-31.669377254175053
26125,134171,4067.453,2768.571,22.946,0.0750,22.225,0.1023,0.3990,-0.6995,204.9391881084474,-31.669356567270142
26126,134179,1040.359,2768.590,21.471,0.0234,20.673,0.0402,0.4640,-0.2775,205.09726437363224,-31.669368012876937
26127,134167,3680.944,2768.618,21.687,0.0339,19.959,0.0246,0.4225,-1.0715,204.95937176583365,-31.669366900319844
26130,134183,3548.042,2768.902,23.194,0.0974,22.119,0.1076,0.4070,-1.5665,204.9663119743129,-31.669357815379904
26133,27376,3399.308,2769.017,23.15,0.0847,21.843,0.0843,0.3760,-1.1010,204.9740789323599,-31.669356217494958
26134,27378,3635.173,2769.200,22.673,0.0665,21.493,0.0646,0.3960,-1.6455,204.96176196557178,-31.66934229430887
26136,27407,2184.212,2769.268,14.807,0.0043,14.398,0.0047,1.3735,-0.0575,205.0375318256704,-31.669356141782163
26140,134195,2248.029,2769.855,21.133,0.0240,20.014,0.0296,0.5580,-0.3055,205.03419926932597,-31.669330252245512
26142,134200,3976.753,2770.135,22.973,0.0712,21.942,0.0801,0.3660,-0.2660,204.94392456023922,-31.669290256536755
26143,134182,3047.508,2770.152,23.793,0.1358,23.394,0.2675,0.4140,-2.8420,204.99245010928954,-31.669312210448147
26144,134199,3875.899,2770.205,21.452,0.0228,19.936,0.0211,0.4045,-0.8450,204.94919119484405,-31.669290498553487
26145,27411,3521.561,2770.294,21.715,0.0287,20.104,0.0229,0.4050,-0.5250,204.9676948639183,-31.669296608691884
26151,134212,2849.520,2770.740,22.598,0.0522,21.563,0.0619,0.3805,-0.4970,205.00278913856357,-31.669288542504862
26153,134215,4093.830,2770.832,,0.1910,22.988,0.2439,0.3470,-3.7135,204.93781078932727,-31.669255115000624
