,ID,X,Y,J,J_err,K,K_err,chi,sharp,ra,dec
3,3,3729.571,56.505,,0.5673,25.035,0.2173,0.0410,5.9720,204.95673978616557,-31.789903437111473
5,90005,3755.536,57.554,,0.2095,20.104,0.1340,0.0300,5.7655,204.9553821590595,-31.78985604986817
8,90003,3516.988,58.100,,0.3017,24.5,0.2181,0.0505,6.7110,204.96785542212356,-31.789838273324172
11,90013,3531.485,58.399,,0.3079,24.466,0.1828,0.0510,6.2115,204.96709740875005,-31.789824624828704
12,90015,3739.276,58.420,,0.2892,25.032,0.1670,0.0405,5.9635,204.95623239494046,-31.789818042256297
13,90009,3154.717,58.454,,1.1462,24.6,0.1697,0.0465,5.9810,204.98679793590745,-31.78983007067185
14,90010,3360.981,58.914,,0.3740,24.365,0.2260,0.0550,5.7960,204.97601276986077,-31.789805682526023
15,90012,3433.157,59.065,,0.2146,24.503,0.2027,0.0525,5.9315,204.97223882095963,-31.789797376727197
16,90011,3424.121,59.300,,0.3045,24.439,0.1933,0.0520,5.4645,204.97271130329474,-31.78978713810536
17,20,3863.221,59.419,,0.2377,25.047,0.3022,0.0400,6.9910,204.94975157567728,-31.78976983361288
19,90026,3671.741,59.728,,0.2995,24.816,0.2397,0.0460,6.1345,204.9597637198925,-31.7897618466408
20,90025,3659.977,59.876,,0.4369,24.733999999999998,0.1947,0.0460,5.9830,204.96037884249216,-31.789755596402436
21,90024,3489.380,59.948,,0.2309,23.985,0.1815,0.0685,5.2115,204.96929904707318,-31.789756813193105
25,90021,3185.949,60.219,,0.2578,24.483999999999998,0.2006,0.0520,6.5515,204.98516490635328,-31.7897510880177
27,90032,3112.250,60.792,,0.3135,24.291,0.1941,0.0570,5.1565,204.9890185040122,-31.78972685942835
42,11,3556.322,61.881,,0.2324,24.199,0.2133,0.0600,5.1615,204.9657988308317,-31.78966924371577
43,90002,3477.882,61.901,,0.3473,23.676,0.1658,0.0850,6.1110,204.96990031088222,-31.7896702891433
60,90140,3449.548,63.024,,0.3751,23.933,0.2688,0.1125,5.5555,204.97138187292208,-31.789621044783395
61,90042,3549.250,63.063,,0.2360,23.918,0.3714,0.1525,6.8290,204.9661686474319,-31.789616890555568
63,90052,3171.646,63.357,,0.3042,24.228,0.2096,0.0605,6.0930,204.98591284774756,-31.78961187165514
69,90067,3159.052,63.714,,0.3455,24.009,0.1701,0.0655,6.2200,204.9865713712543,-31.789596221009177
75,90097,3429.843,63.961,,0.2452,23.915,0.2482,0.1100,4.8095,204.97241223477363,-31.789579853969514
76,90069,3463.767,63.968,,0.2393,23.45,0.2714,0.2740,3.8295,204.9706384145939,-31.78957875726153
77,90062,3061.891,64.032,,0.2291,23.76,0.1779,0.0850,6.5695,204.9916517408641,-31.78958363955354
81,90072,3665.081,64.437,,0.2916,23.955,0.4738,0.6220,9.6455,204.96011211245377,-31.789552745086965
82,90068,3331.363,64.739,,0.4192,23.789,0.3503,0.2065,6.5090,204.9775615830286,-31.78954741769902
94,90020,3121.401,65.048,,0.3026,23.844,0.1948,0.0710,5.2475,204.9885400957448,-31.789537557806145
101,90098,3532.688,65.480,,0.2732,23.916,1.5489,0.4700,1.1110,204.96703471337977,-31.789509885982742
102,90091,2370.242,65.504,,0.2090,26.749,0.2574,0.0250,6.3570,205.02781675933068,-31.789523435550635
105,90085,3682.551,65.727,,0.9009,21.417,0.2697,0.7750,1.3005,204.9591986831616,-31.789494922881932
108,90115,3100.309,65.790,,0.2965,23.557,0.2387,0.1620,7.3270,204.98964296933238,-31.789504917296174
112,90155,3136.205,66.033,,0.3066,23.796,0.2887,0.1995,6.0385,204.9877660422946,-31.789493538100096
113,90084,3115.288,66.117,,0.2411,23.761,0.3364,0.1530,3.5545,204.98885975282147,-31.789490145688298
130,50,3279.928,66.966,,0.2646,23.793,1.4204,0.6850,5.3885,204.98025107049057,-31.789449476601895
139,90116,3254.514,67.757,,0.3035,23.482,1.3176,0.5900,3.3220,204.98157993555193,-31.789414812303622
165,90130,2633.115,68.868,,0.2070,23.655,0.6776,0.3245,-2.8400,205.0140716581271,-31.789373146528366
170,90153,2656.345,69.113,,0.2572,23.469,0.5581,0.2895,6.0800,205.01285700988356,-31.789362117876582
177,90114,2911.781,69.442,,0.7226,22.988,0.2756,0.6610,6.5170,204.99950078172134,-31.789345197657106
183,90152,2391.238,69.828,,0.2561,24.288,0.3394,0.1025,5.3245,205.0267189218772,-31.789331251115094
228,90182,2366.060,71.784,,0.2169,26.911,0.3813,0.0250,6.1935,205.02803542855878,-31.78924432678774
290,90205,2357.909,73.891,,0.2832,27.717,1.0806,0.0250,6.4120,205.02846162714224,-31.78915068279831
346,90316,2375.090,75.703,,0.2079,25.51,0.3219,0.0355,4.9955,205.02756326980946,-31.78907014872305
358,90263,1071.853,76.478,,0.2000,24.296,0.2742,0.5410,3.1130,205.09570664023104,-31.789017896440846
366,90240,2384.802,76.935,,0.3410,24.369,0.1799,0.0570,3.2675,205.02705545113656,-31.789015390019685
423,90429,2376.795,80.531,,0.2473,25.08,0.1888,0.0355,4.5090,205.02747412073697,-31.788855571917047
451,90512,2383.381,82.287,,0.3242,24.155,0.2015,0.0600,5.4890,205.0271297548209,-31.78877752559193
465,5000011,6220.545,82.948,,1.4422,17.546,0.0308,0.0200,4.0570,204.82649432889082,-31.788589181498157
544,90618,2374.964,86.925,,0.3543,24.881,0.2095,0.0400,5.9480,205.02756986143606,-31.788571396548154
582,90661,2365.417,88.174,,0.2591,26.232,0.3173,0.0300,6.5620,205.02806905068422,-31.78851588727504
600,90788,2356.709,90.744,,0.2108,27.28,0.5338,0.0250,6.4825,205.02852436993138,-31.788401665455485
733,5000086,5173.102,102.882,,1.6150,30.167,0.1984,0.0200,7.5255,204.88126354508051,-31.78777784475226
736,5000087,5289.784,102.896,,1.1561,15.802,0.1919,0.0200,7.7945,204.87516261943577,-31.787770071639073
738,5000089,5187.450,102.917,,1.9980,30.141,0.1981,0.0200,6.5390,204.88051333657853,-31.787775425574946
740,5000091,5199.968,102.950,,1.0730,29.164,0.2029,0.0200,8.0825,204.87985881283797,-31.787773201844786
747,5000093,5132.713,103.232,,1.3736,28.798,0.2049,0.0200,7.0335,204.88337538109636,-31.78776469683413
786,5000110,5105.225,105.644,,1.2031,28.616,0.1956,0.0250,2.9155,204.88481280632757,-31.787659116435556
790,90982,310.677,105.775,,0.2832,26.128,0.1796,0.0300,6.6115,205.13550526278135,-31.787688630027553
902,91234,3303.754,114.625,18.864,0.0246,18.602,0.0627,1.4140,-0.5205,204.9790063787848,-31.7873308408816
1178,1304,2503.669,130.506,17.523,0.0203,16.674,0.0440,1.8825,0.0345,205.02084034671333,-31.786634266156476
1275,5000262,5196.254,135.598,,2.9938,15.677,0.1310,0.0250,8.0970,204.88005532133022,-31.786322418951297
1335,5000278,5247.675,138.557,,2.1030,15.637,0.1093,0.0200,7.8465,204.8773669381861,-31.786187768385197
1392,5000296,5213.656,142.613,,1.4819,15.959,0.0956,0.0200,8.0695,204.87914594136856,-31.786009587667426
1421,5000308,5257.681,144.595,,1.3013,16.083,0.0895,0.0200,7.8285,204.87684420308142,-31.78591879777817
1448,5000322,1739.848,146.726,,0.4586,21.456,0.2197,0.7425,2.3125,205.06077758027578,-31.785909445317373
1508,5000342,5228.700,149.710,,1.4980,16.645,0.0780,0.0200,6.4735,204.87835986295306,-31.78569324994296
1568,5000365,5255.619,152.682,,2.9505,16.905,0.0912,0.0200,7.2920,204.8769526017849,-31.78555950659356
1663,5000404,711.138,157.806,,0.3130,21.972,0.3252,0.7900,0.7775,205.11456423871618,-31.78539200531637
2348,3051,3934.691,189.781,18.42,0.0180,17.742,0.0446,1.5350,0.0660,204.9460196716364,-31.783973665221545
2918,95237,4311.209,210.570,18.507,0.0153,17.749,0.0365,1.2100,-0.1095,204.92633450456967,-31.783035561120382
3182,95657,3854.189,219.261,19.515,0.0285,19.223,0.0428,1.4535,-0.9275,204.95022980821645,-31.782666085996844
3226,5001011,1406.982,220.655,14.535,0.0072,13.911,0.0065,2.1530,-0.2395,205.07818004910905,-31.782618118965825
3240,95705,3510.939,221.168,19.244,0.0181,18.576999999999998,0.0454,1.1315,0.2000,204.9681763989828,-31.782591006366218
3386,96024,1374.816,227.148,18.929,0.0242,18.347,0.0313,1.6570,-0.4335,205.07986166063472,-31.782328875146266
3478,4395,1912.576,230.940,19.141,0.0201,18.858,0.0539,1.1450,0.2290,205.051745368884,-31.782168605551753
3663,4735,2719.448,238.366,18.142,0.0262,17.235,0.0229,1.2200,-0.2380,205.0095589912788,-31.781839373000754
3665,96549,2716.928,238.449,17.587,0.0246,16.785,0.0126,1.3245,-0.4110,205.00969074705625,-31.781835703253808
3696,4891,2718.711,239.907,18.39,0.0305,18.365,0.0612,1.2050,0.1565,205.0095975381194,-31.78177089013849
3753,96709,2640.958,242.637,18.389,0.0130,16.942,0.0121,0.9010,0.1360,205.013662772372,-31.781650083759484
3754,4836,3966.281,242.677,16.886,0.0141,16.384999999999998,0.0103,1.4995,-0.6180,204.94437011555038,-31.781621677641525
3786,4928,3552.274,244.047,15.531,0.0122,15.009,0.0068,2.3200,-0.3700,204.96601591574466,-31.781573136904534
3813,96842,1238.401,245.510,17.16,0.0084,16.342,0.0112,1.3070,-0.0810,205.08699346355579,-31.781509713393593
3871,5118,2810.716,249.339,20.059,0.0268,19.441,0.0592,0.8935,-2.5840,205.0047872813661,-31.78135090324296
4055,5001368,4663.193,259.450,16.334,0.0219,15.449,0.0219,2.9250,-1.7350,204.90793409868652,-31.780847163074302
4060,97420,1439.662,259.657,19.066,0.0214,18.231,0.0263,1.4535,-0.0820,205.07647050154094,-31.780885363887652
4115,5604,2860.640,262.407,17.344,0.0196,16.453,0.0109,1.6830,-1.0245,205.00217724426645,-31.78076960274884
4193,5349,567.843,267.095,17.802,0.0083,17.057,0.0228,1.0600,0.2330,205.1220515990149,-31.78052947689138
4218,97822,4017.392,268.354,17.969,0.0137,16.796,0.0117,1.0190,-0.0625,204.94169891526818,-31.780478707543182
4220,97755,313.370,268.580,19.231,0.0211,18.355,0.0289,1.3770,-0.3725,205.1353561021932,-31.780453028439013
4273,5987,2277.086,270.791,18.328,0.0224,17.392,0.0174,1.5645,-1.2010,205.03268726617404,-31.780399548741514
4274,5715,4019.129,270.845,19.149,0.0284,17.639,0.0213,1.0360,-0.0010,204.94160820314906,-31.780367935807774
4325,5490,1626.001,273.367,17.588,0.0206,16.993,0.0292,1.5850,0.0680,205.06672785142607,-31.78027933853962
4338,97988,1624.480,273.891,17.262,0.0086,16.465,0.0110,1.2575,0.0445,205.0668073639599,-31.78025602582698
4414,5001483,-42.607,278.089,,1.7744,20.858999999999998,0.1367,0.6810,2.9485,205.15396699678004,-31.780013472216556
4518,98383,1901.416,284.741,20.131,0.0251,19.698,0.0533,1.1670,0.2070,205.0523282360065,-31.77977735590327
4565,98093,1313.145,287.591,16.539,0.0082,16.113,0.0240,1.0780,-4.1960,205.08308447829484,-31.77964119459843
4569,5001533,1312.094,288.223,16.554000000000002,0.0066,16.000999999999998,0.0080,0.9960,-0.1630,205.08313941055115,-31.779613082309428
4613,98555,3152.956,290.854,19.764,0.0273,18.834,0.0257,1.0525,-1.1260,204.98689461055417,-31.77950127976441
4859,5001647,6073.876,306.692,18.526,0.0251,17.701999999999998,0.0302,1.3400,-2.1580,204.83418399475264,-31.778656981609643
4882,5001655,5970.910,308.412,19.639,0.0170,18.343,0.0196,0.6000,0.0560,204.83956736280516,-31.778588585470303
5078,6893,2885.084,323.994,19.654,0.0211,18.983999999999998,0.0379,0.9035,0.1120,205.00090003990704,-31.778032152970475
5081,6890,2642.338,324.112,20.722,0.0353,19.898,0.0416,0.8585,-0.8265,205.01359119053683,-31.778028986010202
5086,99668,4111.397,324.399,18.414,0.0186,17.574,0.0188,1.3925,-1.0245,204.9367865158578,-31.777984420245595
5110,5001739,6036.055,326.513,20.482,0.0345,19.977,0.0634,0.7900,-1.7020,204.83616315341382,-31.7777790405849
5145,6982,4282.799,329.464,18.861,0.0292,18.237,0.0349,1.9535,-1.4515,204.92782561364572,-31.777752596724003
5147,5001755,4749.881,329.890,19.476,0.0300,18.581,0.0380,1.0750,-2.2590,204.90340599900253,-31.777712182883004
5150,5001757,4054.587,329.981,19.538,0.0216,18.711,0.0296,0.9510,-1.2300,204.93975686250022,-31.777738419961953
5171,99813,1662.861,331.356,19.722,0.0205,18.902,0.0289,1.0415,-0.3405,205.06479968934394,-31.7777026309942
5174,99814,1868.709,331.554,20.863,0.0359,20.135,0.0524,1.0035,0.2280,205.05403766331776,-31.777696456592416
5201,7133,2850.324,334.061,16.596,0.0182,15.746,0.0163,1.7800,-0.0630,205.00271747103824,-31.77758510805048
5205,7060,2847.320,334.418,16.247999999999998,0.0136,15.252,0.0068,1.5390,-0.7570,205.0028745285322,-31.777569272644953
5208,99875,487.329,334.561,18.659,0.0131,18.208,0.0244,1.1770,-0.3025,205.12625793640052,-31.7775278535362
5233,7113,1376.512,335.869,19.535,0.0208,18.641,0.0290,1.1940,-0.4915,205.07977030278929,-31.777496897094043
5245,6984,4412.861,336.658,17.543,0.0284,16.595,0.0247,1.9750,-0.0645,204.9210261721287,-31.77742735242852
5251,99964,4411.252,337.005,17.236,0.0224,16.319,0.0275,2.1140,-0.1295,204.92111031022102,-31.77741200073346
5268,5001795,5850.514,338.670,18.512,0.0272,17.671,0.0292,1.3600,-2.2595,204.84586448127786,-31.777252922547202
5368,7338,3411.409,345.967,19.118,0.0226,18.216,0.0247,1.3030,-1.4510,204.9733835130104,-31.777046754344962
5380,7275,664.648,347.110,,0.3071,22.55,0.3168,0.8225,0.3715,205.11698695190574,-31.776976891448566
5394,100242,581.238,348.731,20.443,0.0343,19.804,0.0442,1.0245,0.0450,205.12134762941815,-31.776901747870554
5396,100260,4506.798,349.285,19.947,0.0233,18.373,0.0259,1.0690,0.1355,204.91611571977307,-31.776861950049632
5525,100569,3286.278,361.935,19.121,0.0224,18.329,0.0216,1.1495,-1.2945,204.97992585791133,-31.776339704261126
5546,100610,1685.074,364.027,19.753,0.0201,18.926,0.0249,0.9100,-0.3195,205.06363780822954,-31.776250921962813
5602,7527,1269.860,368.890,20.049,0.0235,19.414,0.0553,0.7700,-0.0215,205.0853453009467,-31.77602693769541
5611,7636,1268.508,369.700,19.882,0.0246,19.005,0.0282,0.7995,-0.1940,205.08541596190761,-31.775990906333462
5672,7693,3835.890,375.999,18.277,0.0173,17.522,0.0147,1.1985,-1.0130,204.95119233319082,-31.775700579166458
5691,100903,1954.576,377.315,18.972,0.0158,18.133,0.0220,1.2370,0.2780,205.04954794765362,-31.77566347375433
5740,7873,1976.803,381.175,14.744,0.0062,14.301,0.0053,1.7120,0.0180,205.04838587682883,-31.775492107754896
5782,101130,1787.551,384.682,,0.3679,22.901,0.4448,0.7920,-2.7745,205.05827995272364,-31.775334298716285
5800,101112,3152.298,386.660,16.892,0.0147,15.965,0.0081,1.6500,-0.6585,204.9869309048083,-31.775243271869794
5821,7883,1411.557,388.668,17.836,0.0252,17.009,0.0119,1.0500,-0.3045,205.0779368484941,-31.775151014194854
5822,101182,4615.089,388.826,19.766,0.0260,18.94,0.0354,1.1335,-1.1930,204.91045641178567,-31.775099502642963
5841,7934,3609.946,390.396,19.335,0.0188,18.533,0.0219,0.9595,-1.0855,204.96300518610732,-31.77506727824859
5843,101196,1410.468,390.421,17.343,0.0070,16.578,0.0104,0.8165,-0.0650,205.0779937395757,-31.775073081405033
5848,5001989,5050.326,390.722,18.053,0.0241,17.151,0.0260,1.5250,-2.0875,204.8877024704569,-31.774992282185526
5852,5001990,6249.589,391.044,20.055,0.0300,19.34,0.0409,0.7950,-1.6020,204.8250056749083,-31.77489379266775
5856,5001992,-67.124,391.353,,2.1187,21.247,0.2195,0.7150,2.5740,205.1552419187266,-31.774978291741142
5876,5001999,-60.295,393.930,,0.9585,21.949,0.3499,0.7915,3.2130,205.15488474460574,-31.77486411321068
5909,101351,609.236,397.557,20.69,0.0345,19.667,0.0382,0.9295,-0.0845,205.11988172720538,-31.774732775342724
5974,8098,3564.084,405.015,19.743,0.0229,18.924,0.0259,0.9850,-0.9400,204.96540328546766,-31.77441874765319
5978,8128,2381.422,405.867,20.253,0.0214,18.608999999999998,0.0236,0.8515,-0.0605,205.02723233553627,-31.774396280512942
5983,5002040,5067.750,406.316,19.737,0.0301,19.048,0.0369,0.8550,-2.2620,204.8867926057662,-31.774298218279636
6053,101677,1045.709,413.687,18.343,0.0092,17.527,0.0148,0.9575,-0.3040,205.09706253321121,-31.774030203106356
6054,8245,919.637,414.001,,0.2941,23.095,0.3133,0.7625,-3.0810,205.10365347549043,-31.774012531597663
6085,101719,661.630,417.057,20.495,0.0326,19.615,0.0359,0.7380,0.0390,205.11714175761,-31.773868047349836
6123,8298,923.374,421.593,,0.4344,23.166,0.5894,0.6820,-3.4580,205.103457834371,-31.77367522652892
6172,8321,963.043,428.581,18.654,0.0111,18.161,0.0185,0.9405,-0.5835,205.10138373077334,-31.77336585336088
6190,101969,1627.410,430.520,23.996,0.1741,21.782,0.1788,0.6395,-1.8555,205.06665129195244,-31.77329482409786
6241,8484,3136.954,436.924,18.711,0.0189,17.894,0.0165,1.0885,-1.1195,204.98773406283246,-31.773009585163518
6262,8618,2368.211,438.860,18.516,0.0168,17.945,0.0184,1.2820,-0.7060,205.0279230051124,-31.772929936227392
6266,102104,2953.614,439.150,18.342,0.0186,17.393,0.0129,1.1030,0.0010,204.99731888413422,-31.77291332344577
6269,102124,4173.935,439.878,21.231,0.0374,20.456,0.0546,0.7730,-0.6435,204.9335221710873,-31.7728496787708
6283,8503,2532.437,441.124,16.807000000000002,0.0147,15.886,0.0078,1.5820,-0.8660,205.01933748726253,-31.772829008321903
6317,8560,3898.092,444.065,19.568,0.0210,18.76,0.0229,0.9125,-1.1830,204.94794301428917,-31.772673445255016
6327,102223,1591.110,444.783,20.596,0.0284,19.773,0.0370,0.8445,-0.0915,205.06854874121447,-31.772660332293302
6333,5002185,6262.040,445.268,18.468,0.0235,17.814,0.0245,1.1150,-1.9960,204.8243600361912,-31.77248283036742
6344,102269,997.806,446.367,21.17,0.0348,20.598,0.0756,0.8920,-0.0720,205.09956575146398,-31.772576395620504
6355,102268,774.747,447.265,18.196,0.0096,17.415,0.0125,0.9075,-0.2405,205.11122689499263,-31.772529451220457
6375,5002202,4768.978,449.620,21.037,0.0376,20.076,0.0489,0.5950,-0.0520,204.90241479340156,-31.77238991438301
6423,5002228,5102.967,455.007,20.609,0.0302,18.915,0.0294,0.7000,0.1605,204.88495482664305,-31.772132144935814
6448,8776,2292.979,458.410,19.224,0.0169,18.506,0.0233,1.0045,-0.9180,205.03185600463792,-31.772060999904223
6504,5002261,4946.852,464.423,21.091,0.0381,20.125,0.0499,0.5950,-1.1165,204.8931168188967,-31.771722532702682
6518,8804,1096.131,466.147,18.453,0.0102,17.634,0.0138,0.9250,-0.3295,205.09442484370072,-31.77170005277703
6543,102587,1829.888,468.513,19.87,0.0192,18.993,0.0241,0.8915,0.1785,205.0560654527562,-31.771608998175438
6565,102630,4142.943,470.914,19.836,0.0247,19.049,0.0285,0.9710,-1.2085,204.93514377081962,-31.771471498284104
6569,102626,1976.385,471.338,18.679,0.0112,18.1,0.0203,0.9900,-0.2200,205.04840685765987,-31.771484881743692
6580,5002295,6716.475,472.363,,1.6092,21.151,0.2100,0.7150,-0.0855,204.80060611082496,-31.771238585507145
6623,102725,3377.392,477.668,20.685,0.0272,19.904,0.0336,0.6885,-0.7595,204.97516529933986,-31.77119416027539
6631,5002313,5003.282,478.984,20.716,0.0324,19.885,0.0432,0.6150,-0.8325,204.89016774472674,-31.771072235139602
6641,102752,3251.891,479.735,21.11,0.0355,20.347,0.0433,0.6825,-0.3950,204.98172625199848,-31.77110484419194
6652,8955,900.072,481.947,19.236,0.0138,18.391,0.0213,0.9400,-0.4315,205.1046738320216,-31.770992121015425
6659,5002325,5910.923,482.838,20.6,0.0236,18.912,0.0235,0.5550,0.1315,204.84271905580127,-31.77084098602814
6677,102828,3875.913,485.583,20.95,0.0278,20.178,0.0363,0.6325,-0.2435,204.94910407096773,-31.770828934017675
6709,5002350,6714.536,491.065,,1.0375,21.585,0.2945,0.7200,3.2830,204.80070951240668,-31.77040757656379
6717,102908,2890.071,492.382,19.936,0.0233,19.074,0.0242,0.8145,-1.1800,205.00064153252168,-31.770548227750073
6718,5002355,6215.112,492.382,20.727,0.0324,19.189,0.0287,0.6200,-0.2725,204.82681787570738,-31.770392782162514
6723,5002358,5318.679,492.934,18.689,0.0240,18.155,0.0301,1.1000,-2.1540,204.87368064450808,-31.770433398453807
6736,102958,2557.912,494.548,,0.2618,22.89,0.5941,0.8170,-1.5060,205.01800594853032,-31.770454521726553
6751,102978,982.820,497.559,,0.2482,22.696,0.3858,0.6655,-3.2915,205.10034742860145,-31.770300770080397
6768,5002386,4187.273,499.530,15.554,0.0126,14.882,0.0071,2.0170,-0.3560,204.93282760256156,-31.77019797867009
6779,5002390,5648.613,500.242,19.148,0.0262,18.265,0.0293,0.9950,-2.2975,204.85643329957352,-31.770086618505204
6788,103038,710.490,501.325,19.685,0.0199,18.749,0.0238,0.7260,-0.4415,205.11458391343788,-31.770124576567753
6790,9117,570.910,501.692,18.09,0.0093,17.674,0.0153,0.9790,-0.2415,205.12188072660317,-31.770103132865383
6797,5002399,-26.274,502.894,19.204,0.0253,18.748,0.0293,1.1430,-0.7020,205.15309962549975,-31.770023054194503
6804,9126,2758.437,504.062,19.101,0.0213,18.275,0.0185,1.0335,-1.3600,205.00752312956203,-31.770030415714313
6816,5002410,4764.744,506.098,17.162,0.0209,16.709,0.0255,1.9400,-1.9000,204.90263953351646,-31.769880017478087
6818,9106,2660.072,506.620,19.202,0.0196,18.393,0.0189,0.9320,-1.2390,205.01266538533497,-31.769917454602865
6838,103151,4650.561,508.933,19.925,0.0164,18.253,0.0214,0.7720,0.2780,204.90860881914372,-31.769759734351247
6844,9175,3259.171,510.274,19.352,0.0213,18.471,0.0203,0.9505,-1.4020,204.98134635531056,-31.769747424015602
6851,103198,3849.166,512.431,20.39,0.0255,19.632,0.0328,0.7760,-1.1735,204.9505033347858,-31.769636553165018
6854,103180,4130.916,512.738,,0.3925,22.332,0.1938,0.5920,-0.8925,204.93577436602567,-31.769613121396873
6867,103178,1374.777,514.797,,0.3268,22.111,0.3054,0.6860,-0.4145,205.07985658610454,-31.769544551146776
6881,5002439,5856.958,516.623,20.167,0.0328,19.334,0.0403,0.7800,-2.1745,204.84554314285788,-31.769343502699044
6885,103255,2974.599,517.191,19.984,0.0248,19.138,0.0243,0.8425,-1.1415,204.99622300967485,-31.769444583824143
6891,103271,2742.485,518.416,19.965,0.0223,19.149,0.0250,0.8235,-0.9630,205.00835719010664,-31.769392595412235
6916,103314,3498.431,521.414,21.639,0.0431,21.0,0.0632,0.6115,-0.6930,204.96883890002368,-31.76924712665141
6930,103340,4392.669,522.912,19.625,0.0182,19.009,0.0258,0.9405,-0.4765,204.92209129202564,-31.769150335256683
6937,103350,366.695,523.901,18.762,0.0117,18.002,0.0158,0.8800,-0.2500,205.1325553661162,-31.76910781388656
6957,103391,2531.978,526.738,21.042,0.0276,20.232,0.0380,0.6225,-0.5230,205.0193618451684,-31.769023963117384
6974,103429,2631.383,530.021,20.196,0.0211,19.473,0.0274,0.7355,-0.7120,205.01416531836307,-31.768877588642827
6979,9373,912.692,530.298,,0.2607,23.493,0.7292,0.7225,-1.4145,205.10401233454678,-31.768843593044497
7007,103491,2903.175,535.187,21.597,0.0405,20.653,0.0513,0.6155,-0.4045,204.9999570682427,-31.76864564391475
7008,103492,3392.926,535.283,21.222,0.0354,20.575,0.0463,0.6520,-0.5135,204.97435470202615,-31.76863316880327
7013,103509,2409.138,535.587,14.842,0.0095,14.256,0.0064,2.3940,-0.4165,205.02578350499854,-31.768630958289744
7030,103532,656.590,537.995,20.299,0.0250,19.499,0.0316,0.8370,-0.4815,205.11740008070257,-31.768492876285116
7033,9329,2237.216,538.396,16.715,0.0083,16.128,0.0081,1.2680,-0.1220,205.03477094468582,-31.768505968302367
7035,9423,2447.477,539.372,19.783,0.0222,18.85,0.0247,0.8860,-1.3555,205.02377929138086,-31.76846268345436
7044,5002503,5183.261,540.911,17.794,0.0216,16.919,0.0262,1.6150,-2.0145,204.8807632794042,-31.768309455215014
7078,9473,2030.667,546.223,21.015,0.0307,20.186,0.0469,0.7645,-0.0700,205.04556848508557,-31.768157093304993
7080,103636,562.805,546.291,,0.4235,22.457,0.4100,0.6795,-2.3745,205.12230242299717,-31.76812065695091
7096,5002519,1164.816,547.776,15.931,0.0067,15.326,0.0131,1.4350,-0.3125,205.09083168295618,-31.768073925515093
7098,103679,2658.674,547.968,22.5,0.0628,21.843,0.0960,0.4790,-0.5265,205.0127387745275,-31.768079783889384
7105,9501,1491.767,550.231,18.529,0.0099,17.733999999999998,0.0145,0.9305,-0.1065,205.073739951179,-31.767972037358387
7124,5002532,-7.606,553.744,16.503999999999998,0.0074,16.158,0.0097,1.2090,-0.3905,205.15212070442394,-31.767764019435685
7155,103799,2943.848,558.994,19.708,0.0175,19.044,0.0239,0.8350,-0.4340,204.99783117984046,-31.767587073713447
7186,9636,3851.312,564.515,18.59,0.0173,17.77,0.0153,1.0690,-1.1155,204.95039308832435,-31.767321654285922
7199,103890,722.726,567.110,23.58,0.1266,22.02,0.1702,0.6320,-0.9715,205.11394155151194,-31.767201246841076
7217,103932,3848.877,571.113,19.119,0.0198,18.33,0.0197,0.9670,-1.0195,204.95052062444645,-31.7670284888517
7223,103930,2960.696,572.312,22.068,0.0414,20.617,0.0495,0.5950,-0.5155,204.99695063777781,-31.766994953643877
7226,5002568,-87.512,572.854,18.905,0.0296,18.047,0.0251,1.4830,-0.6530,205.15629666743283,-31.766910580234683
7234,5002571,5570.134,573.855,20.894,0.0268,19.397,0.0242,0.4650,-0.2685,204.8605418329329,-31.766820399525336
7241,9655,3737.133,574.822,19.89,0.0219,19.088,0.0268,0.8465,-1.2220,204.95636220718765,-31.766867056668488
7247,103973,1045.967,575.349,15.772,0.0074,15.305,0.0063,1.4460,-0.1020,205.0970437176365,-31.766845274810244
7265,5002586,4782.254,578.656,20.763,0.0328,20.061,0.0517,0.6300,-1.5280,204.90172855879007,-31.766654340243797
7283,9732,4616.023,581.359,17.558,0.0157,16.674,0.0254,2.3510,-0.4365,204.91041843658476,-31.766542497947718
7286,104039,2682.149,581.684,16.503,0.0142,15.849,0.0074,1.6330,-0.8275,205.0115118646397,-31.766581148356458
7304,9701,706.560,584.038,17.07,0.0077,16.518,0.0093,1.0480,-0.2355,205.11478593418724,-31.766448326932842
7318,9747,2676.546,586.764,19.742,0.0283,19.029,0.0205,0.7575,-0.8705,205.0118048021955,-31.766355409520525
7327,104113,3876.288,588.330,21.957,0.0394,21.356,0.0792,0.5365,-0.2100,204.94908835730868,-31.766262415778474
7330,5002614,5111.161,588.729,18.013,0.0224,17.196,0.0257,1.4600,-2.0515,204.88453565568864,-31.76618851354812
7344,5002619,695.802,591.492,17.012,0.0072,16.563000000000002,0.0082,0.8695,-0.2505,205.11534799751882,-31.766116658375815
7362,9801,2115.876,596.141,16.356,0.0106,15.595,0.0156,1.6600,0.1090,205.04111378693815,-31.765939053486587
7364,104194,4348.329,596.340,21.522,0.0422,20.183,0.0518,0.7700,-0.2900,204.92441287752754,-31.76588879042994
7365,5002629,5624.745,596.533,20.47,0.0335,19.662,0.0400,0.6350,-1.9960,204.8576888989594,-31.765808726934498
7368,104200,2536.568,596.738,18.558,0.0163,17.889,0.0152,1.1610,-0.8020,205.01912219986494,-31.76591285057145
7371,5002633,6353.280,597.087,20.155,0.0291,19.505,0.0358,0.6900,-0.7915,204.81960535855254,-31.765727713025
