,ID,X,Y,J,J_err,H,H_err,K,K_err,chi,sharp,ra,dec
1865,5001841,2049.083,124.404,20.503999999999998,0.0077,,,19.819,0.0140,0.4840,0.1345,49.59990564438995,-66.598582949153
1866,5001842,3137.892,124.424,19.400999999999996,0.0040,,,18.527,0.0057,0.4415,0.1805,49.478065248155964,-66.59857655351733
1886,5001861,2911.561,126.927,21.78,0.0194,,,20.489,0.0218,0.4830,-0.0415,49.503392418765316,-66.59847422950183
1891,5001865,2152.948,127.724,21.914,0.0222,,,20.764,0.0261,0.4835,0.1855,49.58828264880516,-66.59843894366266
1905,5001879,2593.376,129.677,21.031999999999996,0.0121,,,19.419,0.0105,0.4990,0.2875,49.538997981124275,-66.59835764671385
1926,5001900,2352.289,132.773,22.973999999999997,0.0445,,,19.408,0.0110,0.4895,-0.4060,49.565975852685,-66.59821894928746
1933,5001906,2816.753,133.426,21.85,0.0217,,,20.564,0.0235,0.4870,-0.1490,49.51400199174535,-66.5981879099043
1937,5001910,3003.251,133.560,20.759999999999998,0.0088,,,20.58,0.0234,0.4715,0.0035,49.493132761393625,-66.59817630880805
1953,5001925,2920.388,135.800,20.933999999999997,0.0102,,,19.65,0.0122,0.4845,0.1925,49.50240535463167,-66.59807960406528
1978,5001949,2139.963,137.842,22.386000000000003,0.0312,,,21.34,0.0439,0.5235,0.1410,49.589734902405056,-66.59798885977071
1984,5001955,1994.461,139.011,22.043999999999997,0.0241,,,21.224999999999998,0.0397,0.5130,-0.0400,49.60601640888906,-66.59793154036142
1988,5001959,3037.390,139.764,21.802,0.0198,,,20.95,0.0303,0.4885,0.1465,49.489313219011194,-66.59789924314062
1992,5001963,3077.701,140.020,21.494,0.0152,,,19.966,0.0144,0.4765,-0.1410,49.48480247440758,-66.5978861713653
2005,5001976,2795.158,141.457,22.130000000000003,0.0261,,,20.862,0.0307,0.5220,-0.6850,49.51641891318377,-66.59783145261459
2019,5001989,5643.502,144.003,14.561,0.0026,,,13.676,0.0033,1.9140,-0.1245,49.19769771963605,-66.59733499702055
2026,5001995,2715.232,144.737,20.863999999999997,0.0095,,,19.598,0.0111,0.4600,0.4000,49.5253626790615,-66.59768710915827
2037,5002006,2143.963,146.440,22.149,0.0257,,,21.059,0.0347,0.5105,-0.0630,49.589286638294155,-66.5976068515489
2053,5002022,2476.628,148.491,21.752000000000002,0.0194,,,20.499,0.0221,0.5005,0.3255,49.55206204924654,-66.59752151844044
2054,5002023,2432.502,148.502,21.939,0.0219,,,19.625,0.0113,0.4815,0.2070,49.55699964552843,-66.59752076439756
2073,5002042,3376.564,151.109,21.96,0.0222,,,20.932,0.0290,0.4780,-0.2120,49.45136183774126,-66.59737673238871
2083,5002052,3084.439,153.109,22.165,0.0262,,,21.224999999999998,0.0363,0.4810,-0.7420,49.484049951613386,-66.59730414464573
2084,5002053,1972.885,153.196,22.109,0.0247,,,20.678,0.0252,0.4980,0.1925,49.608429167610915,-66.59730015952297
2094,5002063,2201.335,154.078,22.034,0.0233,,,21.351,0.0419,0.5040,0.1550,49.582866321644325,-66.59726901931653
2101,5002069,2099.460,155.434,21.252000000000002,0.0126,,,19.631999999999998,0.0111,0.4570,-0.3005,49.594265659473024,-66.59720567235661
2105,5002073,2321.989,155.506,22.539,0.0343,,,20.247,0.0181,0.4890,-1.9605,49.56936549944122,-66.59720813188368
2111,5002079,3370.228,156.517,22.192,0.0264,,,20.915,0.0311,0.5035,-0.7925,49.45207172669254,-66.59713680367635
2130,5002096,2876.744,159.431,21.664,0.0174,,,20.361,0.0191,0.4790,-0.8965,49.50729076703576,-66.5970306227558
2133,5002098,1748.634,159.648,21.213,0.0143,,,19.742,0.0133,0.5225,0.0740,49.63352106718366,-66.59700145042481
2136,5002101,2113.643,160.339,21.595,0.0164,,,20.726,0.0254,0.4815,0.2370,49.592678226395506,-66.59698815159831
2144,5002108,3063.489,161.713,21.491999999999997,0.0152,,,19.989,0.0140,0.4555,-0.0355,49.48639510557998,-66.59692265398043
2145,5002109,5330.706,161.714,17.695999999999998,0.0026,,,17.256999999999998,0.0042,0.5870,0.1360,49.232707915955935,-66.59662153707202
2148,5002112,2443.455,162.120,21.933,0.0212,,,20.743,0.0252,0.4730,-0.2135,49.55577379423565,-66.59691560237859
2152,5002116,3034.367,162.596,21.491,0.0163,,,19.564,0.0109,0.4550,0.1620,49.48965379827379,-66.59688461347847
2163,5002125,2251.180,164.682,22.467999999999996,0.0319,,,21.34,0.0412,0.4870,-0.1980,49.57728824757122,-66.59679893817145
2164,5002126,2923.160,164.892,21.427999999999997,0.0137,,,20.219,0.0162,0.4505,0.1295,49.50209745946691,-66.59678654472106
2166,5002128,2915.908,164.963,21.905,0.0205,,,20.338,0.0188,0.4710,0.3505,49.50290892255977,-66.59678361419756
2175,5002136,2694.324,166.743,20.784999999999997,0.0088,,,19.965,0.0143,0.4615,0.3990,49.52770297563818,-66.59670935929745
2177,5002138,3122.745,167.158,22.834000000000003,0.0406,,,21.655,0.0543,0.5005,-1.5025,49.47976530897768,-66.59667799700496
2178,5002139,3188.930,167.843,19.656999999999996,0.0042,,,18.543,0.0053,0.4025,0.0630,49.47235971074835,-66.59664425327561
2179,5002140,2970.775,167.943,22.520000000000003,0.0319,,,21.776,0.0544,0.4535,-0.6975,49.49676988138629,-66.59664936376159
2181,5002142,3094.565,168.786,20.79,0.0087,,,19.791,0.0121,0.4410,0.2980,49.48291866006417,-66.59660694064792
2186,5002147,2209.991,169.700,21.021,0.0105,,,19.811,0.0125,0.4525,0.3230,49.58189674373382,-66.5965749344047
2187,5002148,2967.566,170.009,22.854,0.0421,,,21.791,0.0556,0.4460,-1.3080,49.49712912938283,-66.59655765415032
2189,5002149,2931.766,170.038,22.338,0.0281,,,21.29,0.0378,0.4655,-0.0995,49.501134911261865,-66.59655756200775
2193,5002153,-229.746,170.358,20.796,0.0118,,,20.0,0.0195,0.6105,0.2200,49.85488391271362,-66.59624643715966
2200,5002159,2167.137,171.332,22.146,0.0253,,,20.719,0.0235,0.4560,-0.7280,49.58669170357838,-66.59650123583526
2203,5002162,3319.759,171.784,22.176000000000002,0.0267,,,21.121,0.0353,0.4965,-0.9630,49.457721410794385,-66.59646154997272
2208,5002165,2585.934,172.096,22.290999999999997,0.0276,,,20.964,0.0310,0.4845,0.0330,49.539831227097736,-66.59647239985485
2215,5002171,2738.042,173.030,22.325000000000003,0.0286,,,21.121,0.0341,0.4825,-1.2640,49.52281145591386,-66.59642928970763
2228,5002184,2650.067,174.553,22.793,0.0406,,,21.688,0.0553,0.4865,-0.7405,49.53265525648548,-66.59636275068556
2236,5002190,3190.999,175.593,20.75,0.0090,,,19.494,0.0100,0.4415,0.3915,49.47212922935307,-66.59629970154555
2251,5002205,1853.507,177.034,19.281,0.0037,,,18.454,0.0056,0.4280,0.0075,49.62178392432222,-66.5962348320383
2271,5002222,2733.607,180.711,22.277,0.0276,,,20.998,0.0312,0.4835,-0.9525,49.52330801355877,-66.59608798584694
