,ID,X,Y,J,J_err,H,H_err,K,K_err,chi,sharp,ra,dec,rgc
3,5000060,417.597,-81.190,,0.1415,,,27.493000000000002,0.6103,0.0250,7.0205,150.85812683733477,-26.299042308431428,18.614231100795433
4,5000061,4051.006,-81.134,,0.3157,,,25.5,0.1700,0.0485,5.9455,150.67799826905159,-26.29904394861396,19.41514855044703
6,5000001,3641.470,-76.636,,,29.701999999999998,0.2870,24.820999999999998,0.2499,0.0530,7.0465,150.69830137143842,-26.298854821325946,19.26430002130679
11,5000002,1668.447,-69.008,,,28.082,0.5820,26.094,0.3167,0.0250,8.2435,150.79611503285201,-26.298527700413192,18.739257442821863
26,5000003,608.411,-62.954,,,27.395,0.3580,28.125999999999998,0.5350,0.0250,5.9410,150.84866654296692,-26.29823763935332,18.531477267431384
29,5000095,1208.541,-62.551,,0.2293,26.114,0.2281,,,0.0350,7.3865,150.81891493297323,-26.29823396651112,18.618956731363923
30,5000096,3679.242,-62.417,,0.1981,21.482,0.1881,21.348999999999997,0.4419,1.9233,2.6623,150.696429175115,-26.29822199606286,19.192046478017954
45,5000114,3358.998,-59.986,,0.1532,20.265,0.1003,19.366,0.1379,1.9347,0.7790,150.7123054061802,-26.298120598693345,19.08547733523395
59,5000004,1171.599,-57.218,,,25.987,0.2234,20.716,0.2500,1.2175,5.9655,150.82074622917239,-26.297996246925262,18.581445835263292
79,5000152,399.017,-52.608,,0.2069,25.401999999999997,0.3276,21.387999999999998,0.4789,1.3843,-0.3593,150.85904692352835,-26.297771409238567,18.444062359095508
87,5000158,375.831,-51.396,,0.1782,,,29.509999999999998,1.0367,0.0300,4.2750,150.8601963254515,-26.29771678713562,18.43415099552677
91,5000162,4012.130,-50.327,,0.1441,21.061999999999998,0.1649,,,1.1620,2.3020,150.6799265651088,-26.297675906477743,19.222639236685723
93,5000164,3604.882,-50.259,,0.2522,22.554,0.6629,,,1.5995,3.3755,150.70011589088747,-26.29768334380794,19.09882948650435
99,5000172,1704.189,-49.372,,0.6554,,,21.168,0.3578,2.0035,0.3475,150.79434288616656,-26.29765537014151,18.630420544377294
103,5000176,1588.964,-48.963,,0.2054,,,20.712000000000003,0.2457,2.0075,-1.2885,150.8000551671734,-26.297635907805848,18.606103792696477
114,5000180,3270.081,-47.455,,0.2774,,,20.667,0.3724,1.7310,4.8600,150.71671371733618,-26.29756520505447,18.98713923354463
144,5000199,391.185,-44.305,,0.5497,,,20.971000000000004,0.2942,1.6765,4.9080,150.85943489526304,-26.297402135898462,18.39434608058269
152,5000037,926.182,-43.518,,,28.805,0.2309,20.945999999999998,0.3689,1.6945,4.8665,150.8329124621443,-26.297382127545347,18.46218434611852
164,5000211,3590.359,-42.928,,0.5461,22.38,0.3105,,,1.4605,1.5705,150.7008360477273,-26.29735784498395,19.051570594235343
190,5000228,3517.525,-40.860,,0.3054,22.543,0.4075,21.796999999999997,0.5893,1.9467,0.7697,150.7044468333808,-26.297267489315555,19.01827504574338
214,5000058,962.841,-38.376,,,25.032999999999998,0.1381,20.664,0.3159,1.7430,4.7500,150.83109496587878,-26.297154443223537,18.437469699283604
230,5000256,3562.479,-37.209,,1.0786,21.983999999999998,0.2529,21.71,0.3457,1.9727,2.8760,150.70221833216965,-26.29710427500891,19.00988232107715
267,5000283,3608.269,-34.821,,0.5956,,,20.625999999999998,0.2688,1.6980,4.0205,150.69994836168425,-26.296997140563484,19.009256005374983
270,5000284,3549.790,-34.474,,0.2891,22.232,0.2726,,,1.3845,-0.1275,150.70284745122459,-26.296982991736463,18.990143662855047
451,5000425,3973.088,-15.591,,0.8665,,,20.704,0.3098,1.8170,4.6940,150.68186316957792,-26.296133222220323,19.00709035032285
487,5000459,3408.468,-11.819,,0.3352,21.55,0.2428,20.860999999999997,0.2983,1.6700,-0.5747,150.7098539274807,-26.29597894705377,18.816568219110643
499,5000465,3236.901,-11.091,,0.2056,21.515,0.2959,,,1.7715,-0.1615,150.7183592593121,-26.29594957789657,18.76433228322673
507,5000472,903.730,-10.710,,0.2704,29.855999999999998,1.3641,21.514000000000003,0.5684,1.3193,9.7153,150.83402465132147,-26.29592347560612,18.265750457763684
618,5000179,422.001,5.732,,,30.546,0.4189,20.85,0.3449,1.6460,1.1350,150.8579054198065,-26.295179282693663,18.104157573789116
