,ID,X,Y,J,J_err,H,H_err,K,K_err,chi,sharp,ra,dec,rgc
620,5000180,3564.330,6.390,,,23.261,0.7201,28.976,0.2454,1.2780,4.5220,150.70212761021213,-26.29516651689022,18.75461462783873
649,5000187,1370.708,29.792,,,23.817999999999998,1.1102,27.089,0.7999,1.3515,2.9850,150.81087383352596,-26.29413265824153,18.10265456192114
655,5000190,960.018,32.520,,,21.480999999999998,0.2905,28.545,0.4866,1.8090,-1.6545,150.831233118797,-26.29400346997076,18.019765900449507
658,5000191,3764.875,33.516,,,29.143,0.2289,22.534,0.5451,1.6885,2.7110,150.69218655189087,-26.293956267810163,18.65532631296181
659,2361,4117.727,34.769,,0.3969,28.298,0.2705,,,0.0455,4.1710,150.67469451765547,-26.293890720235876,18.758292935804338
661,5000192,3492.697,35.038,,,29.044,1.6124,22.048000000000002,0.2978,1.4580,5.6555,150.70567938746817,-26.29389477995479,18.565667821034612
666,2368,3864.505,35.572,,0.3123,21.956,0.2655,22.314999999999998,0.6821,1.9827,4.5980,150.6872476121816,-26.29386232183323,18.67378593855417
669,2363,3413.352,36.193,,0.8552,29.081,1.5023,21.887,0.3190,0.9643,4.8030,150.70961281581418,-26.293845004055306,18.536071902796195
676,153636,3856.370,38.602,,0.2833,,,20.915999999999997,0.2840,1.6755,1.4465,150.68765098071094,-26.293727872319046,18.653529445567045
677,5000195,3232.337,38.866,,,30.427,1.5866,21.594,0.2975,1.5085,0.4880,150.71858639582652,-26.29372935571773,18.46954172790107
679,5000196,3742.848,39.857,,,26.765,0.3593,21.368000000000002,0.3170,1.6595,3.4590,150.69327867868526,-26.293674992896786,18.61148831492313
682,5000198,3361.674,40.769,,,29.567,0.4868,21.891,0.5258,1.4395,2.7725,150.7121747625815,-26.29364258422283,18.494515998017505
683,2377,3895.790,41.029,,0.2776,22.936999999999998,0.6473,21.82,0.5810,1.9290,2.8450,150.68569687346033,-26.293618948862065,18.651516861960232
689,5000199,3425.554,42.196,,,27.991,0.6169,21.905,0.3730,1.5635,5.0140,150.70900804859133,-26.29357797355923,18.504319605153416
698,153664,1940.479,46.071,,0.1857,30.523,1.4863,21.985999999999997,0.6046,1.1853,4.4267,150.78262814276104,-26.293415416314495,18.115159845937733
704,2410,2350.461,46.775,,0.3366,30.118,0.4040,21.389000000000003,0.3501,1.2783,3.4303,150.7623039939508,-26.293385213798153,18.200205522945428
705,5000599,1867.367,46.852,16.424,0.0081,15.949,0.0128,15.892,0.0201,3.3153,-0.4673,150.7862525371455,-26.293380210933464,18.095630023534262
714,2435,1241.462,49.896,,0.2435,,,21.197000000000003,0.4126,1.7445,4.2485,150.81728061335642,-26.29323696326418,17.96218808964923
716,153675,1386.850,51.160,,0.2290,29.933999999999997,0.5173,,,0.0355,4.0945,150.81007324812268,-26.2931832298103,17.979597146308294
717,5000203,1634.201,51.208,,,29.410999999999998,0.5955,21.769,0.4791,1.3715,2.4590,150.7978112781748,-26.293184426999673,18.024351297199516
719,2417,1395.875,51.349,,0.3243,28.534,0.4466,21.305999999999997,0.4386,1.1410,3.2247,150.80962584723636,-26.293174969708424,17.980066111180026
721,5000204,3399.280,52.078,,,28.924,0.4245,20.869,0.2224,1.4730,0.9905,150.71031074262294,-26.2931392742033,18.43879767691694
727,153686,1954.158,54.422,,0.2266,29.258,0.8026,21.749000000000002,0.3232,1.1940,1.6923,150.7819499752696,-26.29304434574197,18.068774286096097
729,2433,947.504,54.920,,0.2400,28.346999999999998,0.3033,20.832,0.2259,1.1553,3.3900,150.8318529081391,-26.293007634792602,17.88605017837199
735,153695,1081.228,56.661,,0.3700,28.213,0.3885,22.558,0.9637,1.0117,4.3113,150.82522376208996,-26.292933188277594,17.896361715109705
736,5000206,575.466,56.721,,,27.641,0.5557,21.052999999999997,0.2893,1.6480,3.4640,150.8502958960485,-26.292917834887675,17.823684776945022
740,5000207,1548.551,57.520,,,28.551,0.4095,22.195,0.5326,1.6375,2.8315,150.80205712942416,-26.29290286035701,17.971173745377637
749,5000212,923.115,58.298,,,28.147,0.4863,21.410000000000004,0.3486,1.3860,1.7475,150.83306185699138,-26.292856935245325,17.862532147875122
753,5000213,2141.954,58.823,,,27.320999999999998,0.2509,20.905,0.3433,1.8230,4.1210,150.7726403295689,-26.292849556213678,18.082694747205778
779,153741,913.164,61.485,,0.3267,28.646,0.3023,21.436999999999998,0.2875,1.0563,2.8290,150.8335550740483,-26.292715057478283,17.842303568002567
780,5000219,1595.912,61.702,,,28.743,0.3019,21.332,0.4146,1.2055,3.6630,150.7997092450471,-26.292717582912214,17.955318738358617
781,5000220,2012.928,61.750,,,28.399,0.5565,21.609,0.3444,1.2995,5.2115,150.77903652355386,-26.29271897689089,18.03785310001291
785,5000222,998.788,62.348,,,29.000999999999998,0.5439,21.46,0.3260,1.6010,0.6005,150.82931042148394,-26.292678663876043,17.850092400776635
797,153772,1650.640,64.047,,0.2013,22.457,0.4349,21.407000000000004,0.3412,1.7407,0.3483,150.79699618718226,-26.29261399319403,17.95181122348702
837,5000244,1243.462,68.772,,,27.654999999999998,0.3294,21.203000000000003,0.3060,1.6945,2.7640,150.81718108978626,-26.292398072090105,17.85135125483192
865,5000253,930.032,70.810,,,27.643,0.3733,21.514000000000003,0.4540,1.9095,0.6055,150.83271863656614,-26.29230101247986,17.7899289364022
866,5000254,440.549,71.270,,,27.590999999999998,0.2877,21.473999999999997,0.3214,1.8575,3.1360,150.8569836186769,-26.29226709743469,17.72143964596061
873,5000257,2162.833,71.849,,,20.993,0.2215,27.848,0.3724,1.9825,2.2125,150.77160526021606,-26.292270679686972,18.010497248108827
1023,5000322,412.927,82.529,,,27.178,0.3097,21.205,0.4532,1.5030,-0.3825,150.85835251316755,-26.291765819681196,17.65202348372772
1179,2926,400.529,91.790,,0.2899,27.711,0.4609,,,0.0405,4.1060,150.85896677981884,-26.29135382299591,17.596180377458687
1198,2958,759.833,92.955,,0.2189,,,21.487000000000002,0.4134,1.5405,4.6515,150.84115522028947,-26.29131257663956,17.635229021241596
1354,154601,2099.596,102.526,,0.4271,22.246,0.2700,21.807000000000002,0.4855,1.9800,5.5850,150.77473997771307,-26.290907083793122,17.816019777083948
1384,154644,792.265,104.630,,0.2034,22.051,0.3649,22.329,1.0022,1.9820,6.0940,150.83954715852548,-26.290794534032926,17.571072523645874
1393,5000722,752.304,105.004,,0.3563,,,21.799,0.4273,1.4930,4.9820,150.8415280974962,-26.290776871475092,17.563328359238927
1409,154724,763.360,105.762,,0.3643,,,21.701999999999998,0.5656,1.5125,5.3425,150.8409800066426,-26.29074347342591,17.560394895639913
1419,154695,404.638,106.309,,0.3382,,,21.549,0.3304,1.8775,-6.0605,150.8587625670196,-26.290708672152896,17.511404239737033
1497,5000514,1884.301,110.791,,,22.343999999999998,0.3513,21.793,0.3950,1.9755,-4.2580,150.7854125601793,-26.290538619667615,17.722269544862414
1533,5000525,372.645,112.583,,,28.334,0.2233,22.095,0.5613,1.7445,4.0370,150.86034829538278,-26.290428787907672,17.470856826971218
1545,154818,835.247,113.472,,0.3267,22.233,0.5301,21.654000000000003,0.2726,1.9463,3.2203,150.83741620623758,-26.290402647942976,17.525125606453166
1584,5000544,3485.694,115.773,,,22.366,0.3236,20.534,0.0800,1.9645,-0.9940,150.70602835773036,-26.29030672570275,18.08987897316163
1737,155149,823.876,124.578,,0.3087,,,21.92,0.3118,1.0705,7.9505,150.83797957852835,-26.28990876663993,17.458180891260838
1748,155148,806.407,124.981,,0.3320,21.782999999999998,0.3432,,,1.9535,7.0815,150.83884553532224,-26.289890413591184,17.453349857208707
1894,5000781,801.977,131.383,,0.2908,21.983999999999998,0.3633,21.817,0.3138,1.8900,5.1773,150.83906495659926,-26.289605769435514,17.415072571126704
1914,5000784,1719.455,132.943,18.926,0.0104,18.311,0.0168,16.909,0.0133,0.9957,0.0577,150.7935840695147,-26.28955269161487,17.55902184382673
1925,155403,348.296,133.736,,0.3478,28.06,0.8014,21.789,0.5614,0.8197,1.5153,150.86155454045965,-26.28948785736977,17.34390616695115
1948,3722,754.467,134.937,,0.0687,,,20.872,0.1861,0.9410,8.5700,150.84141999829913,-26.28944658291107,17.387590978247182
1963,5000702,1373.968,136.316,,,22.125,0.2365,22.679000000000002,0.9809,1.9700,-0.1615,150.810710357557,-26.28939834331296,17.475707341971745
2006,5000798,770.696,139.076,,0.2341,,,21.909,0.4143,1.3010,8.1400,150.84061538262083,-26.289263053929268,17.365480366077044
2007,155583,1368.043,139.077,,0.2373,,,22.075000000000003,0.3440,1.4370,-2.2230,150.81100402023384,-26.28927553919999,17.458415822344175
2025,155502,335.243,140.361,,0.2905,29.244,1.2084,,,0.0355,4.1860,150.86220135082186,-26.289192979730064,17.30355359080743
2041,5000807,2120.587,141.450,,0.8268,22.660999999999998,0.3679,22.884,0.5144,1.9367,6.0227,150.77369927483545,-26.289177207927043,17.591202048555708
2071,155691,793.664,143.339,,0.2720,22.116,0.2998,21.354,0.3586,1.5850,3.7400,150.8394767045679,-26.289074182764182,17.343589825343216
2098,3841,2097.283,144.624,,0.2233,,,21.674999999999997,0.3068,1.2970,5.1020,150.77485447615913,-26.28903606595413,17.56746517894372
2165,155909,323.620,148.893,,0.2263,28.713,1.5438,20.468000000000004,0.2326,1.1087,2.2880,150.862777199787,-26.288813392484624,17.252183843818795
2175,5000829,743.571,149.237,,0.5237,,,21.694000000000003,0.2583,1.0445,7.1620,150.84195970855922,-26.2888107440754,17.30200969840697
2231,155900,2386.615,152.184,,0.3835,22.617,0.3497,21.162,0.3049,1.4847,2.4433,150.76051189283186,-26.288700359110614,17.587640092186167
2293,4176,2211.490,155.604,,0.2586,,,22.002000000000002,0.4679,1.4250,6.0885,150.76919305547406,-26.2885483542865,17.527746210446985
2314,5000822,828.895,156.648,,,26.957,0.2946,21.961,0.3223,1.1050,4.8780,150.837729885976,-26.28848356980952,17.270241758821793
2380,5000850,1357.903,160.854,,,22.002,0.2091,21.465000000000003,0.3230,1.8820,-0.1790,150.81150628697617,-26.28830751714402,17.328383465223858
2398,5000857,817.436,161.817,,,29.198,0.3451,22.814999999999998,0.6378,0.9380,5.3785,150.8382977763382,-26.288253549749527,17.2382257546541
2421,5000876,4054.223,163.321,,,22.439,0.2244,21.897,0.3875,1.9645,3.2265,150.6778468840791,-26.288179273680043,17.986205317494395
2422,5000861,2162.149,163.422,,0.4142,23.654999999999998,0.7747,21.456000000000003,0.2640,1.7770,6.0407,150.7716389277202,-26.288200793918765,17.470799338650853
2436,5000882,3460.464,164.277,,,23.217,0.5258,21.786,0.4122,1.9740,0.9245,150.7072801196651,-26.288151511171083,17.797925291740064
2444,156299,2112.989,164.927,,0.2955,,,22.113,0.6308,1.5720,3.7395,150.77407583545718,-26.28813376863753,17.4512243837796
2464,156282,319.526,166.057,,0.3360,30.156,0.4135,21.479,0.2728,1.0030,4.7517,150.86297950153818,-26.288050416074665,17.151000855850402
2617,4513,733.744,176.402,,0.3362,22.421,0.2763,,,1.3250,6.8755,150.84244604055252,-26.28760315815075,17.14094167115131
2630,5000954,1620.743,177.327,,,22.653,0.2632,22.116999999999997,0.3893,1.8440,-0.6145,150.798476812482,-26.287579021843538,17.27865510149974
2649,156643,762.411,178.830,,0.2884,22.223,0.3589,22.173000000000002,0.5559,1.6923,4.9863,150.84102492608324,-26.28749600593673,17.130553346361527
2674,4561,304.803,180.116,,0.5416,28.983999999999998,0.5926,21.262999999999998,0.3198,1.1870,3.0637,150.86370880298247,-26.287425077895943,17.0668904373943
2711,4651,758.193,182.651,,0.2629,,,22.715000000000003,0.5911,1.0605,10.7885,150.84123390380316,-26.28732607427809,17.10750851983463
2741,5000920,2113.351,185.460,,0.2209,22.012,0.3259,23.360999999999997,0.9538,1.7600,1.4423,150.77405781793675,-26.28722119785933,17.330317015423535
2773,5001011,723.254,188.076,,,27.776,0.2954,22.683999999999997,0.9265,1.3620,8.5025,150.84296568935116,-26.287084036577962,17.07089083445159
2784,156947,746.760,188.924,,0.2284,,,22.475,0.5482,1.2250,9.3315,150.84180046028365,-26.28704697480774,17.069068991066697
2789,156893,288.879,189.098,,0.3770,,,21.686,0.3949,1.6895,2.7320,150.8644978235746,-26.287025337556173,17.012468670798995
2872,156957,2117.942,194.304,,0.3784,21.698,0.2130,21.86,0.5495,1.7167,7.3380,150.77383020854185,-26.286828148177126,17.279200886632474
2918,5001070,1789.747,197.948,,,22.169,0.2774,22.229999999999997,0.5334,1.9515,1.7105,150.7900989530957,-26.286664253470175,17.189704172854423
2987,157204,2116.604,204.572,,0.2388,,,21.616,0.2464,1.2225,1.5430,150.77389649805497,-26.2863717913132,17.21840941804672
2989,157205,2130.034,204.723,,0.2481,22.201999999999998,0.3247,22.71,0.5628,1.7907,3.9583,150.7732307687384,-26.286365120878898,17.220436940063205
3011,5001109,1315.479,206.363,,,22.235,0.3109,22.683999999999997,0.4654,1.8645,1.6730,150.81360844255735,-26.286284211813108,17.05307237132568
3034,157277,2150.291,208.829,,0.3303,22.604,0.3299,21.423000000000002,0.3876,1.8253,4.2113,150.7722266119845,-26.28618268861547,17.200664411737726
3048,157291,2213.708,210.263,,0.2716,,,21.424,0.3747,1.3710,5.5125,150.76908301638292,-26.286119084188922,17.20620996986098
3080,157348,2266.906,213.156,,0.2587,21.951,0.2333,21.609,0.2559,1.9260,4.1500,150.76644598055523,-26.285990562194733,17.201087270087598
3131,5001157,774.859,218.950,,,29.91,0.2837,22.67,0.7350,1.2345,6.5065,150.84040671328557,-26.285713232436855,16.896320192550622
3153,5326,930.453,221.040,23.939,0.1919,22.695999999999998,0.2447,22.514000000000003,0.5891,1.9450,0.1600,150.83269387559187,-26.28562418153486,16.905975558606556
3221,5001194,1896.234,228.193,,,22.273,0.3273,21.901000000000003,0.3666,1.8035,1.4100,150.78482011899015,-26.285320870249897,17.03285078994262
3244,5000980,2145.357,230.178,,0.1969,22.04,0.2939,,,1.4545,6.0785,150.77247112855088,-26.285233837207585,17.07379626005712
3290,5001224,1540.424,233.829,,,22.476,0.4076,22.085,0.4191,1.9595,0.6810,150.80245747546164,-26.28506685274973,16.930854511965855
3303,157728,2160.099,235.077,,0.4149,23.207,0.5284,,,1.2745,2.7105,150.77174035760225,-26.285016142437897,17.0481616128168
3317,5001231,3309.969,236.321,,,22.189999999999998,0.2244,21.463,0.2744,1.9970,1.8735,150.71474168036679,-26.284952355733946,17.331636803634165
3320,5001234,1013.494,236.548,,,22.639,0.4247,22.046,0.3589,1.8675,2.5220,150.82857716406647,-26.284936821053513,16.827021160088314
3349,5001252,1440.723,239.140,,,22.169,0.2455,22.82,0.5714,1.6825,-2.4515,150.80739953794497,-26.284829433983937,16.881656072341354
3350,5001253,755.933,239.162,,,29.212,0.4088,21.778,0.3159,1.0830,4.5020,150.84134428348807,-26.284814432792192,16.774902890289113
3351,157777,1974.400,239.409,,0.2872,,,22.215000000000003,0.2481,1.6755,-0.6860,150.78094537463633,-26.28482287117474,16.982878919391553
3352,5001254,986.550,239.442,,,22.034,0.2396,22.897,0.4599,1.8900,-2.4125,150.82991269580702,-26.284807602829382,16.805954900449787
3381,5001266,2286.047,243.165,,,22.785,0.3905,21.72,0.3436,1.9840,2.4010,150.76549715047457,-26.284656845099985,17.028635999594783
3415,5001279,1366.801,246.133,,,22.855999999999998,0.4275,23.040999999999997,0.7831,1.9835,3.9730,150.8110636981581,-26.28451750663284,16.827575921450073
3417,5001280,1352.853,246.161,,,22.587,0.3073,23.201999999999998,0.4603,1.9615,-1.3425,150.81175509249314,-26.28451603867194,16.82501747292707
3431,157886,1121.899,248.344,15.495,0.0068,15.126,0.0092,15.14,0.0137,3.3750,-0.5987,150.82320330679968,-26.284414834388066,16.774258755281874
3438,157907,3234.445,249.207,18.466,0.0095,18.0,0.0132,18.064,0.0353,1.8807,-0.3363,150.71848560543478,-26.284380897278353,17.234544386286828
3449,5001002,2194.885,250.640,,0.2916,22.840999999999998,0.2609,,,1.3180,7.1405,150.77001599474903,-26.2843245309454,16.964142767362127
3466,5001295,1318.381,252.098,,,22.901999999999997,0.3957,21.500999999999998,0.2339,1.8900,-0.2210,150.81346374062892,-26.284251607067045,16.784183990603985
3480,5001301,772.013,254.508,,,25.471999999999998,0.1729,22.64,0.6979,1.3330,4.0780,150.84054676196115,-26.28413281395032,16.686837471594124
3482,5001303,3091.960,254.622,,,22.398,0.2846,22.331000000000003,0.3708,1.9925,2.7375,150.72554858342897,-26.284142323931096,17.16314545588514
3486,5001306,1408.432,254.850,,,23.08,0.4043,22.234,0.4544,1.7985,1.0770,150.80899992484657,-26.284130734348935,16.783439063966103
3492,157953,2115.257,255.101,,0.2167,22.38,0.3177,,,1.0440,1.3670,150.77396309187336,-26.284126067632872,16.920389510002977
3504,5001311,1227.454,257.147,,,22.378,0.2003,22.987000000000002,0.5202,1.9280,1.5315,150.81797082972622,-26.284025616834644,16.739336515446382
3517,5001318,1335.545,258.405,,,22.814999999999998,0.3777,22.241999999999997,0.4283,1.9195,-3.7735,150.81261281732455,-26.28397158242129,16.749944607122423
3519,5001319,1877.526,258.649,,,22.099,0.2323,22.092,0.2700,1.9870,3.2960,150.78574722759333,-26.28396714670854,16.84956904408181
3553,5001333,1859.504,262.243,,,22.323,0.2966,23.148000000000003,0.4694,1.9240,4.3360,150.78664053463558,-26.28380728164337,16.824743643123337
3554,5909,2231.957,262.366,,0.3013,22.529999999999998,0.3743,,,1.3230,3.3895,150.76817834235675,-26.2838034338382,16.90332105049349
3571,5001341,1489.527,265.301,,,22.474999999999998,0.2712,22.892000000000003,0.6946,1.8815,-0.7080,150.80497994206934,-26.283667424858017,16.736215066224265
3595,5001349,1393.002,267.500,,,22.195999999999998,0.2839,21.619,0.3283,1.8765,1.3680,150.8097645620895,-26.28356827917699,16.706236011172923
3610,5001351,2138.401,268.977,,,22.529999999999998,0.3601,22.515,0.6708,1.9865,2.4935,150.77281581683192,-26.28350942889606,16.843670334118386
3651,6046,2165.511,274.502,,0.3269,22.746,0.3660,22.134999999999998,0.4159,1.6570,4.1627,150.77147198544344,-26.283263943616117,16.817063233148307
3670,5001047,2417.188,276.339,,0.1642,22.73,0.4115,21.067999999999998,0.1354,1.8520,0.3977,150.7589966230256,-26.283182341015657,16.86353762268794
3682,5001368,1580.895,277.143,,,22.8,0.3919,22.269,0.3418,1.8785,1.2625,150.80045075054255,-26.28314230834237,16.6830787571433
3683,158245,2145.934,277.388,,0.3017,22.541999999999998,0.4606,22.283,0.4346,1.7117,2.1663,150.77244238845185,-26.283135629295654,16.79576035932205
3688,5001371,2497.497,277.972,,,18.848,0.0312,18.535000000000004,0.0378,1.8710,-1.6870,150.75501579854784,-26.283109549897585,16.87299561313199
3690,5001373,700.536,278.164,,,23.529,1.0215,21.994999999999997,0.2270,1.9375,-3.0025,150.84408910745418,-26.283079539202017,16.5382667551814
3702,6136,1701.381,279.091,17.156,0.0057,16.463,0.0069,16.304000000000002,0.0090,1.1533,-0.3853,150.7944783710304,-26.28305708474791,16.69431194641437
3737,5001388,1197.894,283.226,,,22.871,0.2959,22.691000000000003,0.6451,1.9085,-0.8460,150.81943555292517,-26.28286600990427,16.580971431702086
3743,5001389,919.289,284.038,,,22.718999999999998,0.3491,22.266,0.3898,1.7785,-1.8755,150.83324562916516,-26.28282402786436,16.53370027515557
3750,5001391,772.225,284.647,,,25.113,0.1526,22.787,0.4745,1.0055,8.3615,150.8405353826669,-26.282793317595747,16.509645720822302
3768,5001403,1594.574,286.500,,,23.357,0.8021,22.426000000000002,0.3171,1.9925,2.6720,150.79977257281735,-26.28272661035928,16.630478387919425
3783,5001411,1335.709,287.674,,,23.096999999999998,0.3968,22.027,0.3463,1.9860,3.0000,150.81260415412225,-26.28267074894366,16.577574264023667
3787,5001412,1937.064,288.039,,,23.227,0.3369,22.182000000000002,0.5375,1.8765,-2.1580,150.78279577140898,-26.282661331515634,16.688559984450276
3793,5001415,1223.453,288.916,,,22.473,0.2472,21.92,0.3435,1.9390,1.0335,150.81816850943244,-26.28261359710666,16.551604917228733
3811,5001423,1369.231,291.059,,,22.924,0.3987,22.982,0.4686,1.8970,5.6205,150.81094245339773,-26.282520846807078,16.563357235137705
3814,5001425,1467.334,291.470,,,23.43,0.7215,22.354,0.5685,1.9985,1.5135,150.8060796170222,-26.28250405463475,16.578077499251823
3821,5001427,861.289,291.944,,,22.73,0.3428,22.375999999999998,0.2860,1.9140,2.9290,150.8361203988932,-26.282471259366854,16.478960554069342
3838,5001437,880.217,293.878,,,18.525,0.0263,18.185000000000002,0.0328,1.7565,-0.4315,150.835182113422,-26.28238576530056,16.47024535547817
3840,5001439,1054.015,294.025,,,22.474,0.2923,21.842,0.3491,1.9575,0.6165,150.8265671994118,-26.28238317899722,16.49486061290752
3857,5001445,1880.485,295.747,,,23.333,0.5729,22.003,0.2611,1.8935,3.3630,150.78560025741152,-26.28231837796217,16.631551456448477
3867,5001448,1501.329,296.530,,,22.022,0.2039,23.054000000000002,0.9630,1.9525,0.9550,150.80439445559935,-26.282279639812284,16.554343991327425
3868,5001062,2221.350,297.253,,0.9469,22.183,0.2675,22.176000000000002,0.6442,1.6180,3.9463,150.76870407021354,-26.282252896360603,16.695413643027372
3876,5001450,968.590,298.786,,,22.665,0.3388,22.741,0.4863,1.9960,2.9575,150.83080147095345,-26.282169704637425,16.454085108823776
3878,5001451,734.243,299.021,,,30.419999999999998,0.3811,22.929000000000002,0.5708,0.9670,2.7335,150.84241767462674,-26.282153476624373,16.420075087575476
3879,5001452,1422.908,299.025,,,22.919999999999998,0.2988,22.461,0.5211,1.9835,1.5260,150.80828162672555,-26.28216763156991,16.525734880701062
3883,5001064,2206.059,299.122,,0.3020,,,22.698,0.4481,1.1580,6.7220,150.76946201921126,-26.282169807459265,16.680989144121828
3885,5001454,1867.369,299.171,,,22.836,0.2119,21.225,0.1485,1.7970,-0.2995,150.78625037044918,-26.28216610572699,16.608715797265912
3901,6405,741.180,300.202,,0.2146,30.36,0.2799,22.441000000000003,0.3751,0.6727,6.2067,150.84207378380472,-26.28210117272627,16.414048004239742
3908,5001457,1458.352,300.948,,,22.672,0.3266,22.761000000000003,0.8367,1.9145,1.9180,150.80652469137766,-26.282082684621646,16.52064537808812
3916,5001460,866.259,302.509,,,22.427,0.2823,22.384,0.3260,1.9360,-0.9455,150.83587375678437,-26.282001828566045,16.417513057980198
3919,5001067,2163.656,302.887,,0.2653,22.956,0.5019,22.221000000000004,0.5379,1.4620,5.3780,150.7715638621958,-26.282002391268215,16.64941419388181
3922,6532,3286.288,303.278,18.273,0.0084,17.776999999999997,0.0112,17.747,0.0233,1.5363,-0.4367,150.71591678561714,-26.281976910140543,16.93178262313374
3923,158613,198.599,303.342,,0.1960,26.730999999999998,0.3927,21.641,0.2687,0.8990,3.8093,150.86896850209902,-26.281944703069268,16.333235018636298
3942,5001469,1855.288,305.268,,,22.108,0.2657,22.147,0.2621,1.9760,-0.2870,150.7868491559593,-26.281895039134312,16.5703471264942
3946,5001471,772.489,305.552,,,26.247999999999998,0.1941,22.555999999999997,0.4414,0.9890,6.2170,150.84052169277703,-26.281864219672883,16.386762470870714
3953,5001473,1373.814,306.307,,,22.776,0.4749,21.915,0.3611,1.9795,5.2180,150.81071501331587,-26.281843234669115,16.474326393726663
3954,5001474,1831.211,306.487,,,22.974999999999998,0.3129,21.944000000000003,0.4258,1.7740,0.2790,150.78804260274325,-26.28184067404,16.55832920193782
