,ID,X,Y,K,K_err,J,J_err,H,H_err,chi,sharp,ra,dec
746,212450,532.576,3249.120,17.830000000000002,0.0256,18.800999999999995,0.0147,18.1195,0.0208,1.7243,0.0557,16.28714184561096,1.8695550464037751
758,212853,1326.642,3264.474,20.958000000000002,0.2181,21.449999999999996,0.0482,20.7395,0.0939,1.7967,-0.2900,16.251831344702993,1.870238681066954
769,5000095,1152.974,3274.535,22.743000000000002,1.6966,22.967,0.1146,22.8935,0.5073,1.9967,-0.1387,16.25955403241305,1.8706856249978376
781,213259,1366.194,3282.107,19.925,0.0965,20.735,0.0308,20.008499999999998,0.0594,1.7333,-0.2453,16.250072564806437,1.8710224103231485
793,13274,3227.866,3292.225,21.622,0.3641,22.940999999999995,0.1215,22.0175,0.2593,1.8867,-1.4283,16.1672875852588,1.8714721332602346
795,213569,664.719,3293.364,20.856,0.1878,21.415,0.0506,20.8205,0.0960,1.7313,-1.3037,16.281265802168203,1.8715216935825578
804,13421,3703.270,3297.964,21.911,0.3470,23.238,0.1759,22.5475,0.3995,1.9123,-3.5377,16.146147283185783,1.8717265822734372
834,214155,3195.291,3318.453,19.728,0.0832,20.665,0.0286,19.906499999999998,0.0532,1.6580,0.1457,16.16873610525034,1.8726378511936974
855,214511,1961.950,3336.625,20.586000000000002,0.1482,21.256999999999998,0.0448,20.5125,0.0784,1.7100,-0.2343,16.223580468220884,1.8734458610266036
856,214512,3646.149,3336.749,19.975,0.1162,20.745999999999995,0.0320,20.2045,0.0632,1.7860,-0.3497,16.148687281343005,1.8734504414017652
858,14561,4107.138,3337.846,21.215,0.2477,,0.3903,21.880499999999998,0.2271,1.8253,-1.0080,16.128187982835932,1.873498384427988
869,14941,693.667,3351.875,21.641000000000002,0.3170,23.772,0.2922,22.3435,0.2927,1.7210,-1.5323,16.279978654470316,1.874122225773729
870,15002,1490.681,3354.457,22.005,0.4832,22.948999999999998,0.1389,22.173499999999997,0.2637,1.8647,-2.0770,16.24453694009245,1.8742380795053186
878,15227,3456.525,3362.749,21.223,0.3252,23.107,0.1655,21.8885,0.2108,1.7700,-2.2790,16.15711946612953,1.8746062576394258
900,215395,2851.113,3378.357,19.662,0.0816,20.533,0.0278,19.9015,0.0519,1.6933,0.1863,16.18404101264925,1.875300518142833
902,215524,768.695,3385.111,20.23,0.1287,20.786,0.0322,20.4775,0.0791,1.7957,-0.7007,16.276642363063967,1.8755995098976774
913,16071,1219.155,3392.955,21.765,0.5026,23.232999999999997,0.1510,22.9015,0.4193,1.7910,-0.8553,16.25661124719067,1.8759488023230892
914,215711,2183.766,3393.746,19.576,0.0873,20.376999999999995,0.0284,19.7335,0.0528,1.8643,-0.1643,16.213716731004975,1.8759846249696897
921,215887,1100.514,3402.055,19.625,0.0806,20.446999999999996,0.0256,19.7925,0.0493,1.6920,-0.1717,16.261887009406756,1.8763530908116035
951,216375,3457.761,3425.540,19.568,0.0821,21.454,0.0520,20.4175,0.0798,1.8097,-0.0917,16.15706441816923,1.8773969580548389
956,216436,844.990,3428.761,19.017,0.0539,19.955999999999996,0.0205,19.304499999999997,0.0385,1.6947,0.1933,16.273249742251988,1.8775396329582374
970,17456,3062.684,3440.173,22.098,0.6029,22.814,0.1173,21.7595,0.2396,1.8713,0.2573,16.1746327792673,1.8780477341511146
976,216793,3059.816,3444.416,18.491,0.0357,19.311999999999998,0.0150,18.7195,0.0245,1.5263,0.3763,16.174760310461814,1.8782363138028837
998,18037,2647.830,3460.125,21.343,0.2982,23.028999999999996,0.1390,21.737499999999997,0.1878,1.8313,-0.0263,16.193080607506072,1.8789347410970743
1059,218058,459.131,3504.077,20.223,0.1245,20.586,0.0290,20.2105,0.0697,1.8043,-0.0220,16.290408356428678,1.8808862735640988
1081,218334,2028.776,3518.017,19.015,0.0561,19.768,0.0179,19.1985,0.0338,1.6557,-0.0870,16.22060890150873,1.8815077290776074
1083,19656,1058.570,3519.290,20.462,0.1292,23.275999999999996,0.1952,21.2255,0.1477,1.7640,-0.1940,16.2637523577841,1.8815634602572902
1102,19873,1549.049,3528.405,21.191,0.2181,21.891,0.0640,21.2945,0.1309,1.6920,0.2763,16.24194158116425,1.8819691314299454
1123,218846,1694.733,3541.642,19.164,0.0555,20.031999999999996,0.0218,19.412499999999998,0.0416,1.6720,0.2243,16.23546326210073,1.8825575552174272
1136,219098,1663.995,3553.544,19.367,0.0647,20.174,0.0228,19.5235,0.0486,1.7587,0.1407,16.236830140342484,1.8830865095118383
1174,21346,3664.708,3582.228,23.558,2.2826,,,22.778499999999998,0.3950,2.1755,3.6240,16.147861603918628,1.8843605556413552
1187,219845,3376.095,3591.243,19.643,0.0808,20.976999999999997,0.0350,20.2825,0.0648,1.6637,0.3760,16.160695750682393,1.884761616143801
1204,220178,4301.995,3607.276,18.919,0.0492,19.808,0.0198,19.0705,0.0368,1.7257,0.3890,16.119522435120658,1.885472589450904
1206,220251,2997.713,3609.557,20.849,0.1958,21.467999999999996,0.0472,20.8705,0.1036,1.7940,-0.1433,16.177521788716696,1.8855759443840705
1208,22203,3429.180,3612.764,20.916,0.1991,22.384999999999998,0.0923,21.490499999999997,0.1733,1.8503,0.0937,16.15833511622305,1.8857180368667839
1212,22231,3968.532,3614.448,21.098,0.2036,22.198,0.0809,21.8055,0.2008,1.7070,0.3137,16.134350980148234,1.885792033265811
1229,220618,738.416,3627.474,18.189,0.0325,19.165,0.0158,18.3385,0.0222,1.6827,0.2230,16.277989267589156,1.8863711095665454
1249,220834,1584.110,3637.315,19.582,0.0770,19.988,0.0207,19.6415,0.0429,1.6420,-0.1033,16.240382570464234,1.8868095931983955
1263,221090,1857.700,3650.086,18.905,0.0464,20.067,0.0203,19.377499999999998,0.0386,1.5790,0.2213,16.228216442009753,1.8873773761747448
1296,221599,1425.359,3674.812,19.583000000000002,0.0690,20.836,0.0322,20.2595,0.0673,1.5097,0.1557,16.247442026738778,1.8884759765262844
1315,24336,4125.597,3690.146,21.329,0.2894,21.732,0.0576,21.223499999999998,0.1476,1.8710,0.3777,16.127366388535535,1.8891560690137037
1325,222116,2137.183,3699.253,18.765,0.0490,19.332,0.0174,18.9175,0.0311,1.7910,0.0180,16.215788258001222,1.889562671906703
1359,5000041,2573.682,3730.743,,,,0.2874,22.1675,0.4967,1.8580,0.0385,16.1963777588485,1.8909622039441512
1361,25390,688.518,3732.205,21.742,0.4178,,0.3100,,,1.7600,-2.3135,16.280208355277352,1.8910257162081812
1362,222752,2464.368,3732.542,20.397000000000002,0.1374,20.695,0.0324,20.1815,0.0721,1.8463,0.1263,16.20123880058009,1.8910421848454178
1363,25479,4237.661,3733.431,21.283,0.2715,22.610999999999997,0.1048,21.6105,0.1946,1.9093,0.2590,16.122382974604687,1.8910796026237553
1384,25832,2041.030,3748.251,21.215,0.2303,22.727999999999994,0.1221,22.133499999999998,0.2702,1.7650,-0.7277,16.220064060901066,1.8917403316510115
1386,223079,2352.981,3748.450,19.934,0.1259,20.608999999999995,0.0342,19.9745,0.0688,2.1253,-0.4197,16.206192025669427,1.8917492176361714
1397,25885,4555.607,3751.990,20.045,0.2574,,0.5217,27.4485,0.3496,1.6477,6.4283,16.108244342905632,1.8919036904100193
1444,223696,4315.284,3777.613,19.304000000000002,0.0725,20.235999999999997,0.0249,19.4985,0.0476,1.8627,0.0457,16.118931089998537,1.8930430673788499
1449,223725,2089.516,3779.550,19.639,0.0802,20.463,0.0280,19.700499999999998,0.0485,1.7210,-0.1240,16.217907963055357,1.893131409277375
1454,26802,3343.550,3781.613,17.432,0.0210,18.329,0.0141,17.6345,0.0176,1.8600,0.3763,16.1621427425185,1.8932225227332036
1479,224038,3999.380,3794.953,18.509,0.0343,19.36,0.0162,18.775499999999997,0.0272,1.5843,0.2693,16.13297885739305,1.89381439543636
1482,224051,1204.500,3796.010,19.624,0.0766,20.473,0.0267,19.7575,0.0496,1.6730,-0.0830,16.257263459752256,1.8938622904868987
1488,224244,3200.048,3803.420,19.89,0.0890,21.997,0.0707,20.7245,0.0986,1.7410,0.2890,16.168524059888583,1.894191877279005
1521,224685,3077.934,3826.124,20.411,0.1451,21.21,0.0431,20.5795,0.0833,1.7653,0.2080,16.173954288045238,1.895201056747214
1532,28006,762.703,3830.362,21.516000000000002,0.3376,23.137999999999998,0.1709,22.6355,0.4369,1.9060,-0.1833,16.276909636895457,1.8953883720396603
1537,224802,3432.818,3832.194,19.195,0.0589,20.056999999999995,0.0207,19.365499999999997,0.0351,1.5630,-0.2287,16.158173048316062,1.895470452816004
1598,225472,1240.254,3866.220,19.736,0.0891,20.607,0.0295,19.7955,0.0489,1.7033,0.1383,16.25567361684014,1.8969827726168353
1624,225983,1658.564,3891.861,19.783,0.0895,20.716,0.0299,20.0685,0.0614,1.7267,-0.1313,16.23707191167307,1.8981227834636456
1625,225984,2786.972,3892.052,19.532,0.0718,20.421999999999997,0.0255,19.7045,0.0418,1.5493,-0.1193,16.18689295808827,1.8981313899586325
1628,226025,4455.523,3893.484,14.439,0.0113,15.357999999999999,0.0111,14.6645,0.0149,4.2383,0.2987,16.112694569361626,1.8981925420774
1631,226045,2979.331,3895.394,17.453,0.0221,18.256999999999998,0.0135,17.6585,0.0158,1.7933,0.2913,16.17833898194968,1.8982797979312775
1644,226281,2438.159,3905.835,20.202,0.1486,20.830999999999996,0.0381,20.0685,0.0777,2.1710,0.1067,16.202404252986792,1.8987440856845457
1648,226321,1628.895,3907.772,18.797,0.0458,19.793999999999997,0.0192,18.9665,0.0303,1.6203,0.0430,16.238391269287057,1.8988299150014416
1650,226343,3322.975,3909.091,19.751,0.0922,20.521,0.0271,19.964499999999997,0.0568,1.7607,-0.2503,16.163057532107175,1.8988882235562412
1675,30599,1174.269,3928.878,21.937,0.3674,22.226,0.0747,21.5795,0.1770,1.7347,-1.5767,16.258607971714337,1.899767483412907
1678,226794,2943.350,3931.188,18.773,0.0438,19.626999999999995,0.0167,19.0885,0.0319,1.5997,0.1020,16.179938987053355,1.8998706661505143
1681,226819,2898.829,3932.118,19.88,0.0978,20.632999999999996,0.0283,20.019499999999997,0.0594,1.7437,-0.8853,16.18191878377931,1.8999120303216004
1685,226895,2131.745,3935.749,19.879,0.1048,20.54,0.0294,19.9405,0.0579,1.8463,-0.8513,16.21603012933816,1.9000735844151284
1691,226983,1315.309,3939.355,20.627,0.1581,21.378999999999998,0.0499,20.7945,0.0977,1.7433,-0.1093,16.252336101808865,1.9002332994075881
1696,31065,490.361,3945.760,21.965,0.4040,22.684999999999995,0.1081,21.572499999999998,0.1797,1.8550,-0.1570,16.28902056992021,1.9005166337773278
1701,227212,2740.257,3949.712,18.912,0.0475,19.781,0.0172,19.0135,0.0274,1.5150,0.1677,16.188970288933447,1.9006940762531188
1708,31327,3658.835,3954.811,21.481,0.3099,22.604,0.1112,21.7745,0.2186,1.8467,0.2597,16.148122171384927,1.900919767339789
1715,227504,468.046,3963.840,18.774,0.0491,19.537,0.0184,18.926499999999997,0.0292,1.7180,-0.4327,16.29001293041075,1.9013201403971367
1721,227625,3399.600,3970.591,20.185,0.1213,21.044999999999995,0.0377,20.287499999999998,0.0790,1.8293,-0.3990,16.15965003116374,1.9016214597864414
1724,31760,3266.021,3972.216,21.209,0.2587,22.019999999999996,0.0687,21.4405,0.1461,1.8060,0.1620,16.165590136797956,1.9016938376541301
1729,227786,3865.148,3977.182,21.281,0.2502,22.117999999999995,0.0763,21.307499999999997,0.1419,1.7577,-0.3847,16.138947633462987,1.9019136899078664
1734,31972,794.416,3980.108,20.598,0.1419,23.107,0.1670,22.1575,0.2622,1.6800,0.0893,16.27549967234709,1.9020437895427504
1740,227956,978.461,3986.639,20.417,0.1407,21.147,0.0416,20.7015,0.0929,1.7800,-0.6223,16.267315411992396,1.9023343564165938
1742,227957,1710.135,3987.262,20.117,0.1041,20.863999999999997,0.0370,20.252499999999998,0.0678,1.6877,-0.2443,16.234778679859108,1.902362857700199
